Time,PPG,IBI,GSR,GSR_Event
10906,981.38,0,775,0
10926,981.78,0,777,0
10929,981.07,0,779,0
10938,981.57,0,780,0
10948,980.84,0,778,0
10958,981.19,0,779,0
10968,980.75,0,778,0
10978,981.16,0,779,0
10988,980.34,0,778,0
10998,981.40,0,779,0
11009,980.72,0,778,0
11019,981.62,0,779,0
11029,980.75,0,778,0
11039,981.51,0,779,0
11049,980.58,0,779,0
11059,981.35,0,779,0
11069,980.39,0,778,0
11079,981.26,0,779,0
11089,980.32,0,779,0
11099,981.21,0,779,0
11109,980.25,0,778,0
11119,981.20,0,779,0
11129,980.28,0,779,0
11139,981.14,0,779,0
11149,980.20,0,778,0
11159,981.13,0,779,0
11169,980.19,0,779,0
11180,981.07,0,779,0
11190,980.24,0,778,0
11200,981.15,0,779,0
11210,980.29,0,779,0
11220,981.23,0,778,0
11230,980.48,0,779,0
11240,981.45,0,779,0
11250,980.63,0,779,0
11260,981.43,0,778,0
11270,980.70,0,779,0
11280,981.60,0,779,0
11290,980.69,0,779,0
11300,981.47,0,778,0
11310,980.69,0,779,0
11320,981.60,0,779,0
11330,980.77,0,779,0
11340,981.57,0,778,0
11351,980.71,0,779,0
11361,981.36,0,778,0
11371,980.48,0,780,0
11381,981.15,0,778,0
11392,980.29,0,779,0
11401,980.89,0,778,0
11411,980.02,0,780,0
11421,980.83,0,778,0
11431,980.28,0,779,0
11441,980.93,0,778,0
11451,980.22,0,780,0
11461,981.05,0,778,0
11471,980.57,0,779,0
11481,981.21,0,778,0
11491,980.46,0,780,0
11501,981.22,0,778,0
11511,980.64,0,780,0
11521,981.18,0,778,0
11531,980.31,0,780,0
11541,980.95,0,778,0
11551,980.32,0,780,0
11561,980.87,0,778,0
11571,980.09,0,780,0
11581,980.88,0,778,0
11591,980.40,0,780,0
11601,981.09,0,778,0
11611,980.42,0,780,0
11621,981.20,0,778,0
11631,980.71,0,780,0
11641,981.31,0,778,0
11651,980.45,0,780,0
11661,981.08,0,778,0
11671,980.42,0,780,0
11681,980.85,0,778,0
11692,980.17,0,780,0
11702,980.50,0,777,0
11712,980.14,0,780,0
11722,980.52,0,778,0
11732,980.07,0,780,0
11742,980.60,0,777,0
11752,980.42,0,780,0
11762,980.64,0,777,0
11772,980.53,0,780,0
11782,980.80,0,777,0
11792,980.78,0,780,0
11802,980.89,0,777,0
11812,980.66,0,780,0
11822,980.85,0,777,0
11832,980.81,0,780,0
11842,980.82,0,777,0
11852,980.58,0,780,0
11863,980.57,0,777,0
11873,980.49,0,780,0
11883,980.47,0,777,0
11893,980.29,0,780,0
11904,980.24,0,777,0
11913,980.13,0,780,0
11923,980.09,0,777,0
11933,980.11,0,780,0
11943,980.07,0,777,0
11953,980.01,0,780,0
11963,979.88,0,777,0
11973,979.87,0,780,0
11983,979.87,0,777,0
11993,979.82,0,780,0
12003,979.66,0,777,0
12013,979.63,0,780,0
12023,979.57,0,777,0
12033,979.53,0,780,0
12043,979.41,0,776,0
12053,979.42,0,780,0
12063,979.42,0,777,0
12073,979.55,0,780,0
12083,979.60,0,777,0
12093,979.81,0,780,0
12103,979.95,0,777,0
12113,980.18,0,780,0
12123,980.25,0,777,0
12133,980.39,0,780,0
12143,980.36,0,777,0
12153,980.42,0,780,0
12163,980.38,0,777,0
12173,980.44,0,780,0
12183,980.31,0,777,0
12193,980.34,0,780,0
12204,980.15,0,777,0
12214,980.49,0,780,0
12224,980.17,0,778,0
12234,980.68,0,780,0
12244,980.26,0,777,0
12254,980.44,0,780,0
12264,980.01,0,777,0
12274,980.61,0,780,0
12284,979.82,0,777,0
12294,980.13,0,780,0
12304,979.15,0,777,0
12314,979.92,0,780,0
12324,979.30,0,777,0
12334,979.72,0,780,0
12344,978.78,0,777,0
12354,979.62,0,780,0
12364,979.05,0,777,0
12375,979.89,0,780,0
12385,979.19,0,778,0
12395,980.12,0,780,0
12405,979.79,0,778,0
12416,980.79,0,780,0
12425,980.17,0,777,0
12435,981.15,0,780,0
12445,980.50,0,778,0
