Time,PPG,IBI,GSR,GSR_Event
7496693,410.76,874,764,0
7496704,408.43,874,763,0
7496713,405.94,874,765,0
7496723,403.43,874,764,0
7496733,400.94,874,765,0
7496743,398.39,874,763,0
7496753,396.09,874,765,0
7496763,395.76,874,764,0
7496773,396.69,874,765,0
7496783,397.51,874,763,0
7496793,397.96,874,765,0
7496803,397.88,874,764,0
7496813,397.41,874,765,0
7496823,396.30,874,763,0
7496833,394.88,874,764,0
7496843,392.77,874,764,0
7496853,390.53,874,765,0
7496863,388.05,874,763,0
7496873,385.47,874,765,0
7496883,382.84,874,764,0
7496893,380.40,874,765,0
7496903,378.05,874,763,0
7496913,376.24,874,765,0
7496923,374.62,874,764,0
7496933,373.49,874,765,0
7496943,372.62,874,763,0
7496953,371.87,874,765,0
7496963,371.27,874,764,0
7496973,371.02,874,765,0
7496983,370.88,874,763,0
7496993,370.96,874,765,0
7497004,371.06,874,763,0
7497014,371.34,874,765,0
7497024,371.54,874,763,0
7497034,371.89,874,765,0
7497044,372.01,874,763,0
7497054,372.18,874,765,0
7497064,372.17,874,763,0
7497074,372.12,874,765,0
7497084,371.87,874,763,0
7497094,371.78,874,765,0
7497104,371.33,874,763,0
7497114,371.06,874,765,0
7497124,370.57,874,763,0
7497134,370.40,874,765,0
7497144,370.32,874,763,0
7497154,370.87,874,765,0
7497164,372.24,874,763,0
7497175,375.21,874,765,0
7497185,380.03,874,762,0
7497195,387.65,874,765,0
7497205,398.04,874,763,0
7497216,412.21,874,765,0
7497234,429.85,914,765,0
7497237,452.10,914,766,0
7497246,477.27,914,764,0
7497256,504.06,914,766,0
7497266,530.53,914,763,0
7497276,555.57,914,766,0
7497286,577.30,914,764,0
7497296,594.69,914,766,0
7497306,605.50,914,763,0
7497316,610.49,914,766,0
7497326,609.70,914,763,0
7497336,604.39,914,766,0
7497346,595.06,914,763,0
7497356,582.91,914,765,0
7497366,568.80,914,764,0
7497376,553.77,914,766,0
7497387,538.37,914,763,0
7497396,523.64,914,766,0
7497406,509.57,914,763,0
7497416,496.92,914,766,0
7497426,485.33,914,763,0
7497436,475.33,914,766,0
7497446,466.58,914,763,0
7497456,459.33,914,766,0
7497466,453.15,914,763,0
7497476,448.30,914,766,0
7497486,444.27,914,763,0
7497496,441.57,914,766,0
7497506,439.60,914,763,0
7497516,438.91,914,766,0
7497526,438.63,914,763,0
7497536,439.47,914,766,0
7497546,440.49,914,763,0
7497556,442.06,914,766,0
7497566,443.58,914,763,0
7497576,445.16,914,766,0
7497586,446.10,914,763,0
7497596,446.84,914,766,0
7497606,446.46,914,763,0
7497616,445.72,914,766,0
7497626,443.92,914,764,0
7497636,441.50,914,766,0
7497646,438.09,914,763,0
7497656,434.08,914,766,0
7497666,429.43,914,763,0
7497676,424.76,914,766,0
