Time,PPG,IBI,GSR,GSR_Event
510209,244.37,633,760,0
510219,267.49,633,754,0
510229,291.00,633,759,0
510239,314.40,633,754,0
510249,336.18,633,759,0
510259,355.71,633,754,0
510269,371.87,633,759,0
510279,386.65,633,754,0
510289,397.86,633,759,0
510299,405.18,633,754,0
510309,408.09,633,759,0
510319,407.12,633,754,0
510329,402.24,633,759,0
510339,394.62,633,754,0
510349,384.58,633,759,0
510359,373.22,633,754,0
510369,360.77,633,759,0
510380,348.41,633,754,0
510390,336.24,633,759,0
510400,325.41,633,754,0
510410,315.69,633,759,0
510420,308.03,633,755,0
510430,302.49,633,759,0
510440,300.37,633,754,0
510450,302.32,633,759,0
510460,310.84,633,755,0
510470,327.00,633,759,0
510480,354.00,633,755,0
510490,392.91,633,759,0
510500,440.17,633,755,0
510510,491.93,633,759,0
510520,545.18,633,754,0
510530,596.21,633,759,0
510540,642.43,633,755,0
510551,680.06,633,759,0
510561,706.74,633,755,0
510580,725.42,633,755,0
510582,738.54,633,759,0
510593,747.72,633,757,0
510603,754.19,633,758,0
510613,758.72,633,758,0
510623,761.93,633,758,0
510633,764.18,633,757,0
510643,765.80,633,758,0
510653,763.29,633,758,0
510663,753.52,633,758,0
510673,733.77,633,757,0
510683,703.84,633,758,0
510693,662.88,633,758,0
510703,611.78,633,758,0
510713,551.03,633,757,0
510723,486.14,633,758,0
510733,421.38,633,757,0
510743,361.78,633,758,0
510753,308.83,633,757,0
510764,265.55,633,759,0
510774,232.26,633,757,0
510784,210.28,633,759,0
510794,198.33,633,756,0
510804,196.69,633,760,0
510814,203.04,633,757,0
510824,217.00,633,759,0
510834,236.03,633,756,0
510844,259.08,633,760,0
510854,283.44,633,757,0
510864,308.46,633,759,0
510874,331.94,633,756,0
510884,353.47,633,760,0
510894,371.33,633,757,0
510904,385.67,633,759,0
510914,395.46,633,756,0
510924,401.49,633,760,0
510935,403.23,633,756,0
510945,401.66,633,760,0
510955,396.83,633,755,0
510965,389.90,633,760,0
510976,380.89,633,755,0
510985,371.15,633,760,0
510995,360.56,633,755,0
511005,350.24,633,760,0
511015,340.14,633,755,0
511025,331.22,633,760,0
511035,323.19,633,755,0
511045,316.83,633,760,0
511055,312.12,633,755,0
511065,310.29,633,760,0
511075,311.96,633,755,0
511085,319.38,633,760,0
511095,334.31,633,755,0
511105,359.38,633,760,0
511115,396.12,633,756,0
511125,441.47,633,760,0
511135,491.73,633,755,0
511145,543.97,633,761,0
511155,594.59,633,756,0
511165,640.44,633,760,0
511175,678.37,633,755,0
511185,705.73,633,761,0
511195,724.88,633,756,0
511214,738.33,634,755,0
511217,747.75,634,756,0
511226,754.34,634,760,0
511236,758.91,634,755,0
511246,762.11,634,760,0
511256,764.35,634,755,0
511266,765.91,634,760,0
511276,766.97,634,755,0
511286,766.81,634,760,0
511296,760.91,634,755,0
511306,746.41,634,760,0
511316,721.51,634,754,0
511326,686.00,634,760,0
511336,639.93,634,754,0
511346,583.98,634,760,0
511356,520.47,634,754,0
511366,455.66,634,760,0
511376,394.26,634,754,0
511386,339.93,634,760,0
511396,294.78,634,754,0
511406,260.21,634,760,0
511416,237.01,634,754,0
511426,224.88,634,760,0
511436,223.11,634,754,0
511447,230.41,634,760,0
511457,245.16,634,754,0
511467,265.34,634,760,0
511477,289.28,634,754,0
511488,314.82,634,760,0
511497,340.29,634,754,0
511507,364.03,634,760,0
511517,384.94,634,754,0
511527,401.84,634,760,0
511537,414.62,634,754,0
511547,422.70,634,760,0
511557,426.56,634,754,0
511567,426.18,634,760,0
511577,422.36,634,754,0
511587,415.48,634,760,0
511597,406.59,634,754,0
511607,395.87,634,760,0
511617,384.55,634,754,0
511627,372.94,634,760,0
511637,361.90,634,754,0
511647,351.43,634,760,0
511657,342.39,634,754,0
511667,334.99,634,760,0
511677,330.45,634,754,0
511687,329.76,634,759,0
511697,335.19,634,754,0
511707,348.37,634,760,0
511717,372.22,634,754,0
511727,408.28,634,760,0
511737,452.85,634,755,0
511747,502.31,634,760,0
511757,553.52,634,755,0
511767,602.91,634,760,0
511777,647.63,634,755,0
511788,684.17,634,760,0
511798,709.92,634,755,0
511808,727.90,634,759,0
511818,740.49,634,755,0
511838,749.30,623,754,0
511841,755.47,623,758,0
511850,759.78,623,758,0
511860,762.81,623,757,0
511870,764.92,623,758,0
511880,766.44,623,756,0
511890,765.28,623,758,0
511900,758.04,623,757,0
511910,741.40,623,758,0
511920,714.97,623,756,0
511930,677.60,623,758,0
511940,629.89,623,757,0
511950,572.28,623,758,0
511960,508.77,623,756,0
511970,444.00,623,758,0
511980,383.53,623,757,0
511990,329.20,623,758,0
512001,284.39,623,758,0
512011,249.69,623,757,0
512021,226.55,623,758,0
512031,213.92,623,757,0
512041,211.97,623,759,0
512051,218.45,623,757,0
512061,232.72,623,758,0
512071,252.04,623,757,0
512081,275.47,623,759,0
512091,300.06,623,757,0
512101,324.98,623,758,0
512111,347.79,623,757,0
512121,368.34,623,759,0
512131,384.78,623,757,0
512141,397.49,623,758,0
512151,405.27,623,757,0
512161,409.26,623,759,0
512172,408.75,623,757,0
512182,405.23,623,759,0
512192,398.43,623,757,0
512202,389.94,623,759,0
512212,379.59,623,756,0
512222,368.96,623,759,0
512232,357.70,623,757,0
512242,347.25,623,759,0
512252,337.10,623,756,0
512262,328.41,623,759,0
512272,320.66,623,757,0
512282,315.19,623,759,0
512292,312.09,623,756,0
512302,313.31,623,759,0
512312,319.90,623,757,0
512322,335.06,623,759,0
512332,360.58,623,756,0
512343,398.81,623,760,0
512353,445.11,623,756,0
512363,496.29,623,760,0
512373,548.83,623,755,0
512384,599.88,623,761,0
512393,645.56,623,756,0
512403,682.81,623,760,0
512413,708.92,623,756,0
512423,727.20,623,760,0
512442,740.00,605,759,0
512444,749.00,605,762,0
512454,755.26,605,755,0
512464,759.64,605,760,0
512474,762.70,605,755,0
512484,764.85,605,760,0
512494,766.35,605,755,0
512504,765.99,605,760,0
512514,759.91,605,755,0
512524,745.32,605,761,0
512534,720.32,605,755,0
512544,684.36,605,760,0
512555,637.58,605,754,0
512564,581.00,605,760,0
512574,517.15,605,755,0
512584,451.49,605,760,0
512594,388.64,605,754,0
512604,332.35,605,760,0
512614,284.80,605,755,0
512624,247.53,605,760,0
512634,220.84,605,754,0
512644,204.82,605,760,0
512654,198.62,605,755,0
512664,201.35,605,760,0
512674,211.53,605,754,0
512684,227.66,605,761,0
512694,247.86,605,755,0
512704,270.62,605,760,0
512714,294.22,605,754,0
512724,317.42,605,760,0
512734,338.72,605,755,0
512744,357.15,605,760,0
512754,371.93,605,754,0
512764,382.80,605,760,0
512774,389.50,605,755,0
512784,392.26,605,760,0
512794,391.33,605,754,0
512804,387.33,605,760,0
512814,380.76,605,755,0
512824,372.35,605,760,0
512834,362.68,605,754,0
512844,352.41,605,760,0
512855,342.04,605,754,0
512865,332.13,605,760,0
512875,323.05,605,754,0
512885,315.06,605,760,0
512896,308.74,605,755,0
512905,304.32,605,760,0
512915,302.81,605,754,0
512925,305.31,605,760,0
512935,313.96,605,755,0
512945,330.30,605,760,0
512955,357.12,605,754,0
512965,395.96,605,760,0
512975,443.07,605,755,0
512985,494.65,605,760,0
512995,547.64,605,755,0
513005,598.45,605,760,0
513015,644.34,605,755,0
513025,681.78,605,760,0
513035,708.20,605,754,0
513054,726.70,612,754,0
513057,739.73,612,755,0
513067,748.81,612,759,0
513076,755.17,612,755,0
513086,759.62,612,760,0
513096,762.73,612,755,0
513106,764.87,612,760,0
513116,764.31,612,755,0
513126,756.89,612,760,0
513136,740.59,612,755,0
