Time,GSR
510209,760
510219,754
510229,759
510239,754
510249,759
510259,754
510269,759
510279,754
510289,759
510299,754
510309,759
510319,754
510329,759
510339,754
510349,759
510359,754
510369,759
510380,754
510390,759
510400,754
510410,759
510420,755
510430,759
510440,754
510450,759
510460,755
510470,759
510480,755
510490,759
510500,755
510510,759
510520,754
510530,759
510540,755
510551,759
510561,755
510580,755
510582,759
510593,757
510603,758
510613,758
510623,758
510633,757
510643,758
510653,758
510663,758
510673,757
510683,758
510693,758
510703,758
510713,757
510723,758
510733,757
510743,758
510753,757
510764,759
510774,757
510784,759
510794,756
510804,760
510814,757
510824,759
510834,756
510844,760
510854,757
510864,759
510874,756
510884,760
510894,757
510904,759
510914,756
510924,760
510935,756
510945,760
510955,755
510965,760
510976,755
510985,760
510995,755
511005,760
511015,755
511025,760
511035,755
511045,760
511055,755
511065,760
511075,755
511085,760
511095,755
511105,760
511115,756
511125,760
511135,755
511145,761
511155,756
511165,760
511175,755
511185,761
511195,756
511214,755
511217,756
511226,760
511236,755
511246,760
511256,755
511266,760
511276,755
511286,760
511296,755
511306,760
511316,754
511326,760
511336,754
511346,760
511356,754
511366,760
511376,754
511386,760
511396,754
511406,760
511416,754
511426,760
511436,754
511447,760
511457,754
511467,760
511477,754
511488,760
511497,754
511507,760
511517,754
511527,760
511537,754
511547,760
511557,754
511567,760
511577,754
511587,760
511597,754
511607,760
511617,754
511627,760
511637,754
511647,760
511657,754
511667,760
511677,754
511687,759
511697,754
511707,760
511717,754
511727,760
511737,755
511747,760
511757,755
511767,760
511777,755
511788,760
511798,755
511808,759
511818,755
511838,754
511841,758
511850,758
511860,757
511870,758
511880,756
511890,758
511900,757
511910,758
511920,756
511930,758
511940,757
511950,758
511960,756
511970,758
511980,757
511990,758
512001,758
512011,757
512021,758
512031,757
512041,759
512051,757
512061,758
512071,757
512081,759
512091,757
512101,758
512111,757
512121,759
512131,757
512141,758
512151,757
512161,759
512172,757
512182,759
512192,757
512202,759
512212,756
512222,759
512232,757
512242,759
512252,756
512262,759
512272,757
512282,759
512292,756
512302,759
512312,757
512322,759
512332,756
512343,760
512353,756
512363,760
512373,755
512384,761
512393,756
512403,760
512413,756
512423,760
512442,759
512444,762
512454,755
512464,760
512474,755
512484,760
512494,755
512504,760
512514,755
512524,761
512534,755
512544,760
512555,754
512564,760
512574,755
512584,760
512594,754
512604,760
512614,755
512624,760
512634,754
512644,760
512654,755
512664,760
512674,754
512684,761
512694,755
512704,760
512714,754
512724,760
512734,755
512744,760
512754,754
512764,760
512774,755
512784,760
512794,754
512804,760
512814,755
512824,760
512834,754
512844,760
512855,754
512865,760
512875,754
512885,760
512896,755
512905,760
512915,754
512925,760
512935,755
512945,760
512955,754
512965,760
512975,755
512985,760
512995,755
513005,760
513015,755
513025,760
513035,754
513054,754
513057,755
513067,759
513076,755
513086,760
513096,755
513106,760
513116,755
513126,760
513136,755
513146,759
513156,755
513166,760
513176,755
513186,759
513196,755
513206,760
513216,755
513226,759
513236,755
513246,760
513256,755
513266,760
513276,755
513286,760
513296,755
513306,760
513316,755
513326,760
513336,755
513346,759
513356,755
513367,759
513377,755
513387,759
513397,756
513408,759
513417,755
513427,759
513437,756
513447,759
513457,755
513467,759
513477,755
513487,758
513497,755
513507,759
513517,756
513527,759
513537,756
513547,759
513557,756
513567,759
