Time,PPG,IBI,GSR,GSR_Event
14182002,320.88,843,745,0
14182012,316.88,843,748,0
14182022,310.92,843,745,0
14182032,304.86,843,748,0
14182042,298.17,843,746,0
14182052,292.76,843,748,0
14182062,288.21,843,745,0
14182072,290.29,843,748,0
14182082,297.92,843,746,0
14182092,313.28,843,748,0
14182103,336.60,843,746,0
14182113,370.45,843,748,0
14182132,412.31,844,749,0
14182135,459.49,844,749,0
14182145,508.46,844,749,0
14182155,556.75,844,749,0
14182165,600.92,844,749,0
14182175,638.79,844,749,0
14182185,667.27,844,749,0
14182195,687.29,844,749,0
14182205,701.30,844,749,0
14182215,711.11,844,749,0
14182225,717.98,844,749,0
14182235,722.78,844,749,0
14182245,726.15,844,749,0
14182255,728.50,844,749,0
14182265,730.15,844,749,0
14182275,731.26,844,749,0
14182285,732.04,844,749,0
14182295,732.59,844,749,0
14182305,732.97,844,749,0
14182316,733.19,844,749,0
14182326,730.31,844,750,0
14182336,720.96,844,749,0
14182346,702.84,844,749,0
14182356,674.95,844,748,0
14182366,637.59,844,750,0
14182376,591.43,844,749,0
14182386,537.43,844,749,0
14182396,480.17,844,748,0
14182406,424.58,844,750,0
14182416,374.90,844,749,0
14182426,333.45,844,749,0
14182436,301.30,844,748,0
14182446,278.71,844,750,0
14182456,265.60,844,749,0
14182466,260.79,844,750,0
14182476,262.91,844,748,0
14182487,270.01,844,750,0
14182497,280.33,844,748,0
14182507,292.36,844,750,0
14182517,304.47,844,748,0
14182528,315.60,844,750,0
14182537,324.76,844,748,0
14182547,331.43,844,750,0
14182557,335.16,844,748,0
14182567,336.36,844,750,0
14182577,335.01,844,748,0
14182587,331.62,844,749,0
14182597,326.25,844,748,0
14182607,319.74,844,750,0
14182617,312.71,844,748,0
14182627,305.85,844,750,0
14182637,299.34,844,748,0
14182647,293.62,844,750,0
14182657,289.11,844,748,0
14182667,286.08,844,750,0
14182677,284.21,844,748,0
14182687,283.55,844,750,0
14182697,283.90,844,748,0
14182707,285.34,844,750,0
14182717,287.34,844,748,0
14182727,289.77,844,750,0
14182737,292.36,844,748,0
14182747,295.30,844,750,0
14182757,298.17,844,748,0
14182767,301.03,844,750,0
14182777,303.46,844,748,0
14182787,305.60,844,749,0
14182797,307.43,844,748,0
14182807,309.10,844,750,0
14182817,310.44,844,748,0
14182828,311.85,844,750,0
14182838,313.01,844,749,0
14182848,314.21,844,750,0
14182858,315.47,844,749,0
14182868,316.87,844,749,0
14182878,318.24,844,749,0
14182888,319.50,844,750,0
14182898,320.03,844,749,0
14182908,320.54,844,749,0
14182918,320.72,844,749,0
14182928,321.49,844,750,0
14182938,323.40,844,749,0
14182948,328.38,844,750,0
14182958,337.91,844,748,0
14182968,354.61,844,750,0
14182987,380.35,855,749,0
14182990,416.20,855,749,0
14183000,458.27,855,747,0
14183010,503.79,855,750,0
14183020,549.54,855,747,0
14183030,593.13,855,750,0
14183041,631.58,855,747,0
14183051,662.09,855,750,0
14183061,683.45,855,747,0
14183071,698.44,855,750,0
14183081,708.94,855,747,0
14183091,716.33,855,750,0
14183101,721.54,855,747,0
14183111,725.24,855,750,0
14183121,727.78,855,747,0
14183131,729.56,855,750,0
14183141,730.81,855,747,0
14183151,731.72,855,750,0
14183161,732.32,855,748,0
14183171,732.74,855,750,0
14183181,733.03,855,747,0
14183191,733.28,855,750,0
14183201,733.45,855,748,0
14183212,733.57,855,750,0
14183222,729.29,855,748,0
14183232,717.84,855,749,0
14183242,696.85,855,748,0
14183252,665.99,855,749,0
14183262,625.50,855,748,0
14183272,576.70,855,749,0
14183282,520.39,855,748,0
14183292,462.93,855,750,0
14183302,408.18,855,748,0
14183312,360.64,855,749,0
14183322,321.66,855,748,0
14183332,292.58,855,749,0
14183342,272.39,855,748,0
14183352,261.39,855,749,0
14183362,257.50,855,748,0
14183372,260.14,855,749,0
14183383,266.69,855,749,0
14183393,276.13,855,749,0
14183403,286.38,855,749,0
14183413,296.85,855,749,0
14183424,306.02,855,749,0
14183433,313.73,855,749,0
14183443,319.00,855,749,0
14183453,322.17,855,749,0
14183463,322.89,855,749,0
14183473,321.85,855,749,0
14183483,318.94,855,749,0
14183493,315.06,855,749,0
14183503,310.15,855,749,0
14183513,305.31,855,749,0
14183523,300.42,855,749,0
14183533,296.31,855,749,0
14183543,292.70,855,749,0
14183553,290.39,855,749,0
14183563,288.77,855,749,0
14183573,288.33,855,749,0
14183583,288.36,855,749,0
14183593,289.28,855,749,0
14183603,290.48,855,749,0
14183613,292.27,855,749,0
14183623,294.11,855,749,0
14183633,296.14,855,749,0
14183643,298.07,855,749,0
14183653,300.19,855,749,0
14183663,302.02,855,749,0
14183673,304.03,855,749,0
14183683,305.69,855,749,0
14183693,307.33,855,749,0
14183703,308.73,855,749,0
14183713,310.22,855,749,0
14183724,311.40,855,749,0
14183734,312.65,855,748,0
14183744,313.57,855,749,0
14183754,314.60,855,748,0
14183764,315.32,855,749,0
14183774,316.08,855,749,0
14183784,316.49,855,750,0
14183794,316.81,855,748,0
14183804,316.95,855,750,0
14183814,317.14,855,749,0
14183824,317.53,855,750,0
14183834,319.08,855,749,0
14183844,323.09,855,750,0
14183854,331.29,855,748,0
14183864,345.82,855,750,0
14183883,369.27,896,749,0
14183886,403.48,896,750,0
14183896,444.86,896,747,0
14183906,490.42,896,750,0
14183916,537.14,896,747,0
14183926,582.35,896,750,0
14183937,623.09,896,747,0
14183947,656.23,896,750,0
14183957,679.44,896,747,0
14183967,695.72,896,750,0
14183977,707.07,896,746,0
14183987,715.07,896,750,0
14183997,720.62,896,747,0
14184007,724.55,896,750,0
14184017,727.25,896,746,0
14184027,729.15,896,750,0
14184037,730.48,896,747,0
14184047,731.45,896,750,0
14184057,732.08,896,747,0
14184067,732.57,896,750,0
14184077,732.92,896,747,0
14184087,733.20,896,750,0
14184097,733.35,896,747,0
14184108,733.46,896,750,0
14184118,730.41,896,747,0
14184128,720.99,896,749,0
14184138,702.30,896,747,0
14184148,673.84,896,750,0
14184158,635.45,896,747,0
14184168,588.47,896,750,0
14184178,533.56,896,747,0
14184188,475.88,896,750,0
14184198,419.77,896,746,0
14184208,370.30,896,750,0
14184218,328.94,896,747,0
14184228,297.58,896,750,0
14184238,275.25,896,747,0
14184248,262.36,896,750,0
14184258,256.85,896,747,0
14184268,258.35,896,750,0
14184279,264.12,896,747,0
14184289,273.38,896,750,0
14184299,283.68,896,747,0
14184309,294.71,896,750,0
14184320,304.52,896,747,0
14184329,313.19,896,749,0
14184339,319.18,896,747,0
14184349,323.24,896,750,0
14184359,324.58,896,747,0
14184369,324.19,896,750,0
14184379,321.56,896,747,0
14184389,318.18,896,750,0
14184399,313.54,896,747,0
14184409,309.14,896,750,0
14184419,304.21,896,747,0
14184429,300.16,896,750,0
14184439,296.30,896,748,0
14184449,293.85,896,750,0
14184459,291.75,896,747,0
14184469,291.06,896,750,0
14184479,290.65,896,748,0
14184489,291.57,896,750,0
14184499,292.60,896,747,0
14184509,294.56,896,750,0
14184519,296.41,896,748,0
14184529,298.90,896,750,0
14184539,301.03,896,747,0
14184549,303.68,896,750,0
14184559,305.79,896,748,0
14184569,308.21,896,749,0
14184579,309.99,896,747,0
14184589,312.01,896,749,0
14184599,313.12,896,748,0
14184609,314.37,896,749,0
14184620,314.99,896,748,0
14184630,316.02,896,749,0
14184640,316.61,896,748,0
14184650,317.67,896,749,0
14184660,318.28,896,748,0
14184670,319.44,896,749,0
14184680,320.12,896,748,0
14184690,321.03,896,750,0
14184700,321.28,896,748,0
14184710,321.58,896,749,0
14184720,321.19,896,748,0
14184730,320.92,896,749,0
14184740,320.86,896,748,0
14184750,322.49,896,749,0
14184760,326.54,896,748,0
14184770,335.72,896,749,0
14184780,351.75,896,748,0
14184800,377.71,917,748,0
14184803,413.54,917,750,0
14184813,455.93,917,748,0
14184823,501.77,917,750,0
14184833,548.42,917,748,0
14184843,592.57,917,750,0
14184853,631.48,917,748,0
14184863,661.98,917,749,0
14184873,683.33,917,747,0
14184883,698.32,917,750,0
14184893,708.81,917,748,0
14184903,716.19,917,750,0
14184913,721.36,917,748,0
14184923,725.03,917,750,0
14184933,727.63,917,748,0
14184943,729.50,917,749,0
14184953,730.76,917,748,0
14184963,731.65,917,750,0
14184973,732.23,917,748,0
14184983,732.67,917,750,0
14184993,732.94,917,747,0
14185004,731.07,917,750,0
14185014,723.17,917,747,0
14185024,707.22,917,749,0
14185034,681.74,917,746,0
14185044,647.02,917,750,0
14185054,603.60,917,747,0
14185064,552.67,917,750,0
14185074,497.10,917,747,0
14185084,442.77,917,750,0
14185094,393.00,917,747,0
14185104,351.04,917,749,0
14185114,317.43,917,747,0
14185124,293.13,917,750,0
14185134,277.40,917,747,0
14185144,270.25,917,750,0
14185154,269.71,917,747,0
14185164,274.81,917,750,0
14185175,283.18,917,747,0
14185185,294.05,917,749,0
14185195,305.14,917,747,0
14185205,316.03,917,750,0
14185216,325.02,917,747,0
14185225,332.17,917,750,0
14185235,336.40,917,746,0
14185245,338.34,917,750,0
14185255,337.21,917,746,0
14185265,334.10,917,749,0
14185275,328.72,917,747,0
14185285,322.54,917,750,0
14185295,315.22,917,747,0
14185305,308.34,917,750,0
14185315,301.55,917,747,0
14185325,296.16,917,750,0
14185335,291.48,917,747,0
14185345,288.60,917,749,0
14185355,286.62,917,747,0
14185365,286.22,917,750,0
14185375,286.28,917,747,0
14185385,287.57,917,750,0
14185395,289.20,917,746,0
14185405,291.92,917,750,0
14185415,294.52,917,747,0
14185425,297.58,917,750,0
14185435,300.40,917,747,0
14185445,303.54,917,750,0
14185455,306.08,917,747,0
14185465,308.67,917,750,0
14185475,310.40,917,747,0
14185485,312.21,917,750,0
14185495,313.04,917,746,0
14185505,313.80,917,749,0
14185516,313.73,917,746,0
14185526,313.94,917,750,0
14185536,313.57,917,747,0
14185546,313.70,917,750,0
14185556,313.32,917,747,0
14185566,313.70,917,750,0
14185576,313.74,917,747,0
14185586,314.51,917,749,0
14185596,314.74,917,747,0
14185606,315.55,917,750,0
14185616,315.81,917,747,0
14185626,316.42,917,750,0
14185636,316.38,917,747,0
14185646,316.70,917,750,0
14185656,316.66,917,746,0
14185666,317.92,917,749,0
14185676,320.51,917,747,0
14185687,327.09,917,750,0
14185697,338.89,917,747,0
14185707,359.32,917,750,0
14185717,389.95,917,747,0
14185737,429.23,936,747,0
14185740,473.47,936,750,0
14185750,520.34,936,749,0
14185760,566.40,936,749,0
14185771,609.14,936,749,0
14185780,645.01,936,749,0
14185790,671.54,936,749,0
14185800,690.15,936,750,0
14185810,703.22,936,750,0
14185820,712.37,936,749,0
14185830,718.81,936,749,0
14185840,723.37,936,750,0
14185850,726.56,936,749,0
14185860,728.79,936,749,0
14185870,730.35,936,749,0
14185880,731.45,936,749,0
14185890,732.21,936,749,0
14185900,732.75,936,749,0
14185910,733.12,936,749,0
14185920,733.39,936,750,0
14185930,733.57,936,749,0
14185940,733.70,936,750,0
14185950,733.79,936,749,0
14185960,733.85,936,750,0
14185970,729.78,936,749,0
14185980,718.41,936,750,0
14185990,698.35,936,749,0
14186000,668.89,936,749,0
14186010,630.31,936,749,0
14186020,583.50,936,750,0
14186030,529.95,936,749,0
14186040,474.98,936,749,0
14186050,423.51,936,749,0
14186060,378.19,936,750,0
14186071,341.06,936,749,0
14186081,312.76,936,750,0
14186091,293.24,936,748,0
14186101,281.51,936,750,0
14186112,276.56,936,748,0
14186121,276.69,936,750,0
14186131,280.56,936,748,0
14186141,286.77,936,750,0
14186151,294.34,936,748,0
14186161,302.43,936,750,0
14186171,310.57,936,747,0
14186181,318.80,936,750,0
14186191,326.74,936,744,0
14186201,334.66,936,746,0
14186211,341.88,936,737,0
14186221,348.17,936,735,0
14186231,352.88,936,738,0
14186241,355.40,936,740,0
14186251,355.24,936,742,0
14186261,351.99,936,748,0
14186271,346.38,936,736,0
14186281,339.37,936,739,0
14186291,331.89,936,739,0
14186301,324.38,936,746,0
14186311,317.71,936,746,0
14186321,312.01,936,749,0
14186331,308.45,936,748,0
14186341,306.04,936,750,0
14186351,304.74,936,748,0
14186361,303.84,936,750,0
14186371,303.76,936,749,0
14186381,303.96,936,750,0
14186391,304.74,936,748,0
14186401,305.51,936,750,0
14186412,306.47,936,748,0
14186422,307.61,936,750,0
14186432,309.01,936,748,0
14186442,310.51,936,749,0
14186452,312.11,936,748,0
14186462,313.71,936,750,0
14186472,315.38,936,748,0
14186482,316.90,936,749,0
14186492,317.96,936,748,0
14186502,318.61,936,750,0
14186512,318.90,936,747,0
14186522,318.97,936,749,0
14186532,318.60,936,748,0
14186542,317.60,936,750,0
14186552,316.18,936,748,0
14186562,314.28,936,750,0
14186572,311.80,936,748,0
14186583,308.69,936,750,0
14186593,304.92,936,748,0
14186603,301.00,936,749,0
14186613,297.15,936,747,0
14186624,294.49,936,750,0
14186633,293.83,936,748,0
14186643,297.09,936,750,0
14186653,305.81,936,748,0
14186663,322.92,936,750,0
14186673,349.77,936,748,0
14186692,388.07,956,746,0
14186695,433.26,956,749,0
14186705,482.47,956,750,0
14186715,532.17,956,747,0
14186725,579.69,956,750,0
14186735,621.36,956,748,0
14186745,655.02,956,750,0
14186755,678.59,956,736,0
14186765,695.17,956,740,0
