Time,PPG,IBI,GSR,GSR_Event
911511,390.83,823,765,0
911521,393.15,823,763,0
911532,394.82,823,765,0
911542,395.09,823,763,0
911552,394.76,823,765,0
911562,393.16,823,763,0
911572,391.10,823,766,0
911582,390.94,823,763,0
911592,391.17,823,765,0
911602,390.48,823,763,0
911612,389.26,823,766,0
911622,386.96,823,763,0
911632,384.31,823,765,0
911642,380.92,823,763,0
911652,377.47,823,766,0
911662,373.60,823,763,0
911672,370.04,823,765,0
911682,366.30,823,763,0
911692,363.08,823,766,0
911703,360.14,823,762,0
911713,358.08,823,766,0
911723,356.52,823,761,0
911733,355.76,823,766,0
911744,355.62,823,762,0
911753,356.46,823,767,0
911763,357.69,823,762,0
911773,359.37,823,766,0
911783,361.15,823,762,0
911793,363.12,823,766,0
911803,365.14,823,761,0
911813,367.11,823,766,0
911823,368.79,823,762,0
911833,370.35,823,766,0
911843,371.45,823,761,0
911853,372.26,823,766,0
911863,372.61,823,762,0
911873,372.68,823,766,0
911883,372.26,823,761,0
911893,371.46,823,766,0
911903,370.25,823,762,0
911913,369.27,823,766,0
911923,368.59,823,761,0
911933,369.19,823,766,0
911943,372.00,823,762,0
911953,378.77,823,766,0
911963,390.80,823,761,0
911973,409.84,823,766,0
911983,436.63,823,762,0
912003,471.67,853,762,0
912006,512.01,853,764,0
912015,554.70,853,766,0
912025,596.83,853,764,0
912035,636.18,853,766,0
912045,670.33,853,764,0
912055,697.70,853,766,0
912065,717.29,853,765,0
912075,731.00,853,766,0
912086,740.60,853,764,0
912095,747.32,853,766,0
912105,749.71,853,764,0
912115,746.67,853,766,0
912125,737.73,853,764,0
912135,722.72,853,766,0
912145,701.63,853,764,0
912155,674.44,853,766,0
912165,641.65,853,764,0
912175,605.97,853,766,0
912185,569.55,853,764,0
912195,533.43,853,766,0
912205,498.80,853,764,0
912215,466.33,853,766,0
912225,437.05,853,764,0
912235,411.06,853,766,0
912245,389.01,853,764,0
912256,370.92,853,765,0
912265,357.58,853,764,0
912275,348.57,853,766,0
912285,344.16,853,764,0
912295,343.43,853,766,0
912305,346.17,853,764,0
912315,351.09,853,766,0
912325,357.96,853,764,0
912335,365.56,853,766,0
912345,373.36,853,764,0
912355,380.37,853,766,0
912365,386.43,853,764,0
912375,390.71,853,766,0
912385,393.63,853,764,0
912395,394.51,853,766,0
912405,393.89,853,764,0
912415,391.44,853,765,0
912425,387.88,853,764,0
912435,383.20,853,766,0
912445,378.17,853,764,0
912455,372.67,853,765,0
912465,367.63,853,765,0
912475,362.64,853,766,0
912485,358.55,853,764,0
912495,354.83,853,765,0
912505,352.22,853,764,0
912515,350.27,853,766,0
912525,349.20,853,764,0
912535,348.41,853,765,0
912545,348.46,853,764,0
912556,348.71,853,766,0
912566,349.70,853,765,0
912576,350.43,853,765,0
912586,351.63,853,765,0
912596,352.64,853,765,0
912606,354.03,853,764,0
912616,354.88,853,765,0
912626,356.07,853,765,0
912636,356.78,853,765,0
912646,357.87,853,765,0
912656,358.43,853,765,0
912666,359.28,853,765,0
912676,359.58,853,765,0
912686,360.35,853,765,0
912696,360.55,853,765,0
912706,360.94,853,765,0
912716,360.66,853,765,0
912727,360.63,853,765,0
912737,360.06,853,765,0
912747,359.91,853,765,0
912757,359.47,853,765,0
912768,360.23,853,766,0
912777,362.26,853,765,0
912787,367.71,853,765,0
912797,377.18,853,765,0
912807,393.28,853,766,0
912826,416.26,824,764,0
912829,448.24,824,767,0
912838,486.91,824,764,0
912848,529.62,824,766,0
912858,573.02,824,764,0
912868,614.93,824,766,0
912878,652.36,824,765,0
912888,684.01,824,766,0
912898,707.58,824,764,0
912908,724.12,824,766,0
912918,735.70,824,764,0
912928,743.85,824,766,0
912939,748.86,824,764,0
912948,750.06,824,766,0
912958,745.76,824,764,0
912968,735.93,824,766,0
912978,719.49,824,764,0
912988,697.15,824,766,0
912998,668.43,824,764,0
913008,634.87,824,766,0
913018,597.71,824,764,0
913028,560.17,824,766,0
913038,522.58,824,764,0
913048,487.22,824,766,0
913058,453.77,824,764,0
913068,424.31,824,766,0
913078,398.29,824,764,0
913088,377.20,824,766,0
913098,360.13,824,764,0
913108,348.22,824,766,0
913118,340.39,824,764,0
913128,337.45,824,766,0
913138,337.70,824,764,0
913148,341.65,824,766,0
913158,347.41,824,765,0
913168,355.26,824,766,0
913178,363.41,824,765,0
913188,372.16,824,766,0
913198,379.70,824,764,0
913208,386.34,824,766,0
913218,390.44,824,764,0
913228,393.09,824,766,0
913239,393.15,824,764,0
913249,391.73,824,766,0
913259,388.04,824,764,0
913269,383.62,824,766,0
913280,377.77,824,764,0
913289,372.18,824,766,0
913299,365.91,824,764,0
913309,360.45,824,766,0
913319,355.00,824,764,0
913329,350.89,824,766,0
913339,346.89,824,764,0
913349,344.23,824,766,0
913359,341.76,824,764,0
913369,340.50,824,766,0
913379,339.41,824,764,0
913389,339.41,824,766,0
913399,339.33,824,764,0
913409,340.22,824,766,0
913419,340.88,824,764,0
