Time,PPG,IBI,GSR,GSR_Event
4791819,365.37,633,745,0
4791829,365.56,633,747,0
4791839,369.08,633,746,0
4791849,376.30,633,746,0
4791859,388.81,633,746,0
4791869,405.88,633,747,0
4791888,427.77,662,747,0
4791891,459.77,662,747,0
4791900,498.45,662,748,0
4791910,537.40,662,748,0
4791920,574.52,662,748,0
4791930,605.91,662,748,0
4791940,630.97,662,748,0
4791950,647.39,662,748,0
4791960,653.66,662,748,0
4791970,648.96,662,748,0
4791980,636.72,662,747,0
4791990,617.47,662,748,0
4792000,594.53,662,747,0
4792010,568.01,662,748,0
4792020,540.92,662,748,0
4792030,513.13,662,748,0
4792040,487.04,662,748,0
4792050,461.83,662,748,0
4792060,439.63,662,748,0
4792070,419.34,662,748,0
4792080,402.40,662,748,0
4792090,387.28,662,748,0
4792100,375.67,662,747,0
4792110,366.12,662,748,0
4792120,359.96,662,748,0
4792130,355.26,662,748,0
4792140,353.42,662,747,0
4792151,352.65,662,748,0
4792161,354.30,662,748,0
4792171,356.40,662,748,0
4792181,360.22,662,748,0
4792192,363.93,662,747,0
4792201,368.70,662,748,0
4792211,372.56,662,748,0
4792221,376.90,662,748,0
4792231,379.76,662,747,0
4792241,382.66,662,748,0
4792251,383.83,662,748,0
4792261,385.00,662,748,0
4792271,384.48,662,747,0
4792281,384.17,662,748,0
4792291,382.27,662,748,0
4792301,380.91,662,748,0
4792311,378.23,662,747,0
4792321,376.28,662,748,0
4792331,373.45,662,748,0
4792341,371.69,662,748,0
4792351,369.30,662,747,0
4792361,368.31,662,749,0
4792371,366.80,662,748,0
4792381,366.69,662,748,0
4792391,366.10,662,747,0
4792401,366.71,662,749,0
4792411,366.67,662,748,0
4792421,367.63,662,748,0
4792431,367.65,662,747,0
4792441,368.66,662,749,0
4792451,369.15,662,748,0
4792461,371.20,662,748,0
4792471,373.54,662,747,0
4792481,378.69,662,749,0
4792492,385.56,662,747,0
4792502,396.79,662,748,0
4792512,411.00,662,747,0
4792522,430.37,662,749,0
4792542,452.63,653,748,0
4792545,478.67,653,749,0
4792554,505.98,653,747,0
4792564,534.36,653,749,0
4792574,560.31,653,747,0
4792584,583.96,653,749,0
4792594,602.06,653,747,0
4792604,615.50,653,749,0
4792614,622.29,653,747,0
4792624,623.49,653,749,0
4792634,618.24,653,746,0
4792644,608.91,653,749,0
4792654,594.88,653,747,0
4792664,578.55,653,749,0
4792674,559.22,653,747,0
4792684,539.31,653,749,0
4792694,518.05,653,747,0
4792705,497.51,653,749,0
4792715,477.08,653,747,0
4792725,458.24,653,749,0
4792735,440.38,653,747,0
4792745,424.84,653,749,0
4792755,410.83,653,747,0
4792765,399.52,653,749,0
4792775,390.28,653,747,0
4792785,383.55,653,749,0
4792795,378.59,653,747,0
4792805,375.93,653,749,0
4792815,374.71,653,748,0
4792825,375.18,653,749,0
4792835,376.45,653,747,0
4792845,378.89,653,749,0
4792855,381.41,653,747,0
4792865,384.46,653,749,0
4792876,387.11,653,747,0
4792886,389.73,653,749,0
4792896,391.74,653,747,0
4792906,393.32,653,749,0
4792916,393.95,653,747,0
4792926,394.31,653,749,0
4792936,393.83,653,747,0
4792946,392.77,653,749,0
4792956,391.17,653,747,0
4792966,389.23,653,749,0
4792976,387.06,653,747,0
4792986,384.77,653,749,0
4792996,382.40,653,747,0
4793006,380.26,653,749,0
4793016,378.43,653,747,0
4793026,376.80,653,749,0
4793036,375.45,653,747,0
4793047,374.37,653,749,0
4793057,373.70,653,747,0
4793067,373.15,653,749,0
4793077,372.89,653,747,0
4793088,372.67,653,749,0
4793097,372.81,653,747,0
4793107,373.04,653,749,0
4793117,373.67,653,747,0
4793127,374.15,653,749,0
4793137,375.05,653,747,0
4793147,375.98,653,749,0
4793157,377.91,653,747,0
4793167,380.47,653,749,0
4793177,384.83,653,747,0
4793187,391.01,653,749,0
4793197,400.39,653,747,0
4793207,412.96,653,749,0
4793217,429.69,653,747,0
4793236,450.01,695,746,0
4793239,474.35,695,749,0
4793248,500.82,695,749,0
4793259,528.86,695,748,0
4793268,556.03,695,749,0
4793278,581.52,695,747,0
4793288,602.84,695,748,0
4793298,619.60,695,748,0
4793308,629.96,695,749,0
4793318,634.60,695,747,0
4793328,632.54,695,748,0
4793338,625.35,695,748,0
4793348,612.81,695,749,0
4793358,596.97,695,747,0
4793368,577.39,695,748,0
4793378,556.40,695,748,0
4793388,533.83,695,749,0
4793398,511.55,695,747,0
4793408,489.06,695,748,0
4793418,468.12,695,748,0
4793428,447.99,695,748,0
4793438,430.55,695,747,0
4793448,414.66,695,748,0
4793458,401.90,695,748,0
4793468,391.13,695,748,0
4793478,383.72,695,747,0
4793488,378.32,695,748,0
4793498,375.95,695,748,0
4793508,374.94,695,748,0
4793518,376.33,695,747,0
4793528,378.50,695,748,0
4793538,382.34,695,748,0
4793548,386.09,695,748,0
4793559,390.61,695,748,0
4793569,394.37,695,748,0
4793579,398.41,695,748,0
4793589,401.03,695,748,0
4793600,403.38,695,748,0
4793609,404.12,695,748,0
4793619,404.56,695,748,0
4793629,403.06,695,748,0
4793639,401.41,695,748,0
4793649,398.33,695,748,0
4793659,395.79,695,748,0
4793669,392.17,695,748,0
4793679,389.25,695,748,0
4793689,385.61,695,748,0
4793699,383.24,695,748,0
4793709,380.56,695,748,0
4793719,379.23,695,748,0
4793729,377.49,695,748,0
4793739,377.09,695,748,0
4793749,376.25,695,748,0
4793759,376.56,695,748,0
4793769,376.35,695,747,0
4793779,377.31,695,748,0
4793789,377.56,695,748,0
4793799,378.72,695,748,0
4793809,378.98,695,748,0
4793819,380.23,695,748,0
4793829,380.84,695,748,0
4793839,382.73,695,748,0
4793849,384.23,695,747,0
4793859,387.80,695,748,0
4793869,392.49,695,748,0
4793879,400.74,695,748,0
4793889,411.41,695,748,0
4793900,426.88,695,748,0
4793910,445.43,695,748,0
4793920,468.57,695,749,0
4793939,493.52,703,747,0
4793943,520.36,703,751,0
4793951,546.44,703,747,0
4793961,571.68,703,749,0
4793971,592.60,703,747,0
4793981,609.74,703,749,0
4793991,620.44,703,747,0
4794001,626.10,703,749,0
4794011,625.00,703,747,0
4794021,618.87,703,749,0
4794031,606.91,703,747,0
4794041,591.89,703,749,0
4794051,572.81,703,747,0
4794061,552.64,703,749,0
4794071,530.50,703,747,0
4794081,509.27,703,749,0
4794091,487.63,703,747,0
