Time,PPG,IBI,GSR,GSR_Event
8738533,305.68,783,781,0
8738543,307.66,783,781,0
8738553,313.16,783,782,0
8738563,321.09,783,782,0
8738573,330.10,783,782,0
8738583,339.29,783,781,0
8738593,347.77,783,782,0
8738604,357.48,783,781,0
8738614,365.91,783,782,0
8738624,371.72,783,781,0
8738634,374.46,783,782,0
8738644,374.07,783,781,0
8738654,370.70,783,782,0
8738664,364.71,783,781,0
8738674,356.78,783,781,0
8738684,347.42,783,781,0
8738694,337.48,783,781,0
8738704,327.39,783,781,0
8738714,317.80,783,782,0
8738724,308.99,783,781,0
8738734,301.11,783,781,0
8738744,294.39,783,781,0
8738754,289.17,783,782,0
8738764,285.22,783,781,0
8738775,282.67,783,782,0
8738785,281.35,783,781,0
8738795,281.20,783,782,0
8738805,281.96,783,781,0
8738816,283.43,783,782,0
8738825,285.23,783,781,0
8738835,287.39,783,782,0
8738845,289.50,783,781,0
8738855,291.41,783,782,0
8738865,292.74,783,781,0
8738875,293.85,783,782,0
8738885,294.49,783,781,0
8738895,295.16,783,782,0
8738905,296.05,783,781,0
8738915,298.31,783,782,0
8738925,303.40,783,781,0
8738935,313.57,783,782,0
8738945,330.45,783,781,0
8738955,356.63,783,782,0
8738965,393.60,783,780,0
8738975,438.98,783,783,0
8738985,489.13,783,781,0
8738995,540.69,783,782,0
8739014,590.37,773,782,0
8739017,635.47,773,784,0
8739026,672.92,773,782,0
8739036,700.37,773,784,0
8739046,719.63,773,781,0
8739056,733.16,773,784,0
8739066,742.67,773,781,0
8739076,749.37,773,783,0
8739086,754.06,773,781,0
8739096,757.34,773,783,0
8739106,759.64,773,781,0
8739116,761.25,773,783,0
8739126,762.37,773,781,0
8739136,763.16,773,783,0
8739146,761.66,773,781,0
8739156,754.82,773,783,0
8739166,740.47,773,781,0
8739176,717.44,773,783,0
8739186,685.13,773,781,0
8739196,643.99,773,783,0
8739206,594.66,773,781,0
8739216,540.51,773,784,0
8739226,485.80,773,781,0
8739236,434.43,773,783,0
8739246,388.96,773,781,0
8739256,351.51,773,783,0
8739266,322.65,773,782,0
8739276,303.12,773,783,0
8739287,291.99,773,781,0
8739297,288.90,773,783,0
8739307,292.02,773,782,0
8739317,300.16,773,783,0
8739328,311.38,773,781,0
8739337,324.55,773,783,0
8739347,337.67,773,782,0
8739357,350.07,773,784,0
8739367,360.16,773,781,0
8739377,368.09,773,783,0
8739387,373.07,773,782,0
8739397,375.50,773,783,0
8739407,375.00,773,781,0
8739417,372.26,773,783,0
8739427,367.34,773,781,0
8739437,361.32,773,783,0
8739447,353.94,773,781,0
8739457,346.07,773,784,0
8739467,337.65,773,781,0
8739477,329.57,773,784,0
8739487,321.73,773,781,0
8739497,314.82,773,784,0
8739507,308.32,773,781,0
8739517,303.04,773,783,0
8739527,298.57,773,780,0
8739537,295.48,773,783,0
8739547,293.07,773,781,0
8739557,291.55,773,783,0
8739567,290.31,773,781,0
8739577,290.00,773,783,0
8739587,289.75,773,781,0
8739597,289.78,773,783,0
8739607,289.37,773,781,0
8739617,288.92,773,783,0
8739628,287.87,773,782,0
8739638,286.80,773,783,0
8739648,285.27,773,782,0
8739658,284.63,773,784,0
8739668,285.56,773,781,0
8739678,290.15,773,784,0
8739688,300.13,773,781,0
8739698,318.56,773,783,0
8739708,346.98,773,781,0
8739718,386.84,773,783,0
8739728,434.76,773,781,0
8739738,487.29,773,784,0
8739748,540.77,773,781,0
8739758,592.10,773,784,0
8739777,637.67,763,783,0
8739780,674.93,763,784,0
8739789,701.95,763,782,0
8739799,720.86,763,783,0
8739809,734.10,763,782,0
8739819,743.37,763,783,0
8739829,749.86,763,782,0
8739840,754.40,763,783,0
8739849,757.58,763,782,0
8739859,759.81,763,783,0
8739869,761.37,763,782,0
8739879,762.46,763,783,0
8739889,763.22,763,782,0
8739899,759.81,763,783,0
8739909,749.15,763,782,0
8739919,729.95,763,783,0
8739929,701.46,763,781,0
8739939,664.08,763,783,0
8739949,617.99,763,782,0
8739959,564.55,763,783,0
8739969,508.63,763,781,0
8739979,455.25,763,783,0
8739989,406.96,763,782,0
8739999,366.35,763,783,0
8740009,334.14,763,782,0
8740019,311.51,763,783,0
8740029,297.69,763,782,0
8740039,292.64,763,784,0
8740049,294.55,763,781,0
8740059,302.48,763,783,0
8740069,314.21,763,781,0
8740079,328.55,763,783,0
8740089,343.38,763,781,0
8740099,357.93,763,783,0
