Time,PPG,IBI,GSR,GSR_Event
992323,542.15,773,760,0
992332,580.25,773,758,0
992343,617.11,773,761,0
992353,649.78,773,757,0
992363,676.50,773,760,0
992373,694.57,773,757,0
992384,703.10,773,760,0
992393,703.67,773,757,0
992403,697.55,773,760,0
992413,682.64,773,757,0
992423,659.65,773,760,0
992433,629.80,773,757,0
992443,595.66,773,760,0
992453,558.99,773,757,0
992463,521.54,773,760,0
992473,485.33,773,757,0
992483,451.93,773,760,0
992493,422.34,773,757,0
992503,397.17,773,760,0
992513,376.59,773,757,0
992523,361.37,773,761,0
992533,351.44,773,757,0
992543,346.68,773,760,0
992553,346.78,773,758,0
992563,351.17,773,760,0
992573,359.09,773,758,0
992583,369.78,773,760,0
992593,382.15,773,758,0
992603,395.39,773,760,0
992613,408.13,773,757,0
992623,419.66,773,760,0
992633,429.41,773,758,0
992643,436.91,773,760,0
992653,441.61,773,758,0
992663,443.31,773,760,0
992673,441.98,773,758,0
992684,437.95,773,761,0
992694,431.67,773,757,0
992704,423.32,773,760,0
992714,413.71,773,758,0
992724,403.17,773,759,0
992734,392.62,773,758,0
992744,382.41,773,760,0
992754,373.41,773,759,0
992764,365.32,773,759,0
992774,358.92,773,758,0
992784,353.93,773,760,0
992794,350.99,773,759,0
992804,349.37,773,759,0
992814,349.43,773,758,0
992824,350.46,773,760,0
992834,352.93,773,758,0
992844,356.00,773,759,0
992855,359.85,773,759,0
992865,363.58,773,760,0
992875,367.74,773,759,0
992885,371.20,773,759,0
992896,374.70,773,760,0
992905,377.40,773,760,0
992915,379.81,773,758,0
992925,381.11,773,759,0
992935,382.32,773,760,0
992945,382.70,773,760,0
992955,383.86,773,759,0
992965,385.36,773,759,0
992975,389.54,773,760,0
992985,396.62,773,760,0
992995,409.25,773,760,0
993005,427.94,773,760,0
993015,454.19,773,760,0
993025,486.66,773,760,0
993035,524.18,773,760,0
993054,563.17,733,760,0
993057,601.99,733,764,0
993067,637.65,733,760,0
993076,668.53,733,762,0
993086,693.01,733,760,0
993096,711.22,733,761,0
993106,720.84,733,760,0
993116,722.65,733,762,0
993126,715.72,733,761,0
993136,700.85,733,762,0
993146,677.58,733,760,0
993156,647.66,733,761,0
993166,610.99,733,760,0
993176,572.38,733,762,0
993186,532.67,733,760,0
993196,495.48,733,762,0
993206,460.88,733,760,0
993216,431.43,733,761,0
993226,405.97,733,760,0
993236,386.44,733,763,0
993246,371.22,733,760,0
993256,361.94,733,761,0
993266,356.73,733,760,0
993276,356.94,733,763,0
993286,360.39,733,760,0
993296,367.90,733,763,0
993306,377.19,733,760,0
993316,388.96,733,762,0
993326,400.59,733,760,0
993336,412.75,733,762,0
993346,422.86,733,760,0
993356,432.07,733,762,0
993367,438.09,733,760,0
993377,442.09,733,762,0
993387,442.41,733,760,0
993397,440.83,733,762,0
993408,435.99,733,760,0
993417,430.00,733,762,0
993427,421.60,733,760,0
993437,413.02,733,762,0
993447,403.20,733,760,0
993457,394.35,733,762,0
993467,385.25,733,760,0
993477,377.89,733,762,0
993487,370.89,733,760,0
993497,365.95,733,763,0
993507,361.68,733,760,0
993517,359.72,733,762,0
993527,358.35,733,760,0
993537,359.10,733,763,0
993547,360.14,733,760,0
993557,362.97,733,763,0
993567,365.72,733,760,0
993577,369.66,733,762,0
993587,372.85,733,760,0
993597,376.62,733,762,0
993607,379.22,733,760,0
993617,382.20,733,762,0
993627,383.81,733,759,0
993637,385.75,733,762,0
993647,386.81,733,760,0
993657,389.57,733,762,0
993667,393.51,733,760,0
993677,401.84,733,762,0
993687,414.41,733,760,0
993697,434.17,733,762,0
993708,460.43,733,760,0
993718,494.46,733,762,0
993728,532.25,733,760,0
993738,572.03,733,762,0
993758,610.29,703,761,0
993761,645.65,703,764,0
993770,675.45,703,759,0
993780,699.15,703,763,0
993790,714.96,703,759,0
993800,723.46,703,763,0
993810,724.26,703,758,0
993820,717.50,703,763,0
993830,703.12,703,758,0
993840,681.91,703,763,0
993850,654.00,703,758,0
993860,621.17,703,763,0
993870,585.59,703,757,0
993880,550.10,703,763,0
993890,516.04,703,758,0
993900,485.04,703,763,0
993910,457.26,703,759,0
993921,433.70,703,763,0
993931,414.07,703,760,0
993941,398.45,703,762,0
993951,386.57,703,759,0
993961,378.43,703,762,0
993971,373.67,703,756,0
993981,372.10,703,763,0
