Time,PPG,IBI,GSR,GSR_Event
12482,267.43,733,744,0
12492,266.92,733,747,0
12503,267.37,733,745,0
12513,270.09,733,747,0
12523,274.48,733,745,0
12533,281.28,733,747,0
12544,290.58,733,745,0
12553,308.41,733,747,0
12563,332.41,733,745,0
12582,364.43,743,746,0
12585,404.89,743,747,0
12594,450.61,743,748,0
12604,499.02,743,747,0
12614,547.92,743,749,0
12624,594.70,743,747,0
12634,636.75,743,748,0
12644,670.38,743,747,0
12654,693.97,743,749,0
12664,710.48,743,747,0
12674,722.03,743,749,0
12684,730.12,743,747,0
12694,735.79,743,748,0
12704,739.75,743,746,0
12715,742.53,743,748,0
12724,744.47,743,747,0
12734,745.83,743,748,0
12744,746.74,743,747,0
12754,747.37,743,749,0
12764,747.82,743,747,0
12774,748.13,743,748,0
12784,748.31,743,746,0
12794,748.43,743,748,0
12804,748.51,743,747,0
12814,745.53,743,749,0
12824,734.91,743,746,0
12834,713.98,743,748,0
12844,682.45,743,747,0
12854,640.31,743,748,0
12864,588.45,743,747,0
12874,528.06,743,748,0
12884,464.14,743,747,0
12894,402.77,743,748,0
12904,348.28,743,747,0
12914,302.38,743,748,0
12924,266.57,743,747,0
12934,240.77,743,748,0
12944,224.42,743,747,0
12954,215.90,743,748,0
12964,214.04,743,747,0
12974,216.99,743,748,0
12984,223.38,743,747,0
12994,231.32,743,748,0
13004,240.01,743,747,0
13015,248.15,743,748,0
13025,255.48,743,747,0
13035,260.95,743,748,0
13045,265.08,743,748,0
13056,267.03,743,748,0
13065,267.70,743,747,0
13075,266.64,743,748,0
13085,265.03,743,748,0
13095,262.32,743,748,0
13105,259.70,743,747,0
13115,256.62,743,748,0
13125,254.46,743,747,0
13135,252.39,743,748,0
13145,251.46,743,747,0
13155,250.94,743,748,0
13165,251.77,743,747,0
13175,253.04,743,748,0
13185,255.47,743,747,0
13195,258.16,743,748,0
13205,261.80,743,748,0
13215,265.20,743,748,0
13225,269.13,743,748,0
13235,272.69,743,748,0
13245,276.64,743,747,0
13255,280.00,743,748,0
13265,283.73,743,748,0
13275,286.90,743,748,0
13285,290.66,743,748,0
13295,293.63,743,748,0
13305,296.87,743,748,0
13315,299.57,743,748,0
13325,302.87,743,747,0
13335,306.85,743,748,0
13345,314.65,743,748,0
13365,327.74,783,746,0
13368,351.95,783,749,0
13377,387.45,783,748,0
13387,431.16,783,748,0
13398,479.88,783,747,0
13407,531.22,783,748,0
13417,581.38,783,748,0
13427,627.47,783,748,0
13437,663.84,783,747,0
13447,689.35,783,748,0
13457,707.20,783,748,0
13467,719.74,783,748,0
13477,728.52,783,747,0
13487,734.66,783,748,0
13497,738.96,783,748,0
13507,741.97,783,748,0
13517,744.04,783,747,0
13527,745.48,783,748,0
13537,746.45,783,748,0
13547,747.13,783,748,0
13557,747.56,783,747,0
13568,747.87,783,748,0
13577,748.03,783,748,0
13587,743.22,783,748,0
13597,729.01,783,747,0
13607,704.54,783,748,0
13617,668.93,783,748,0
13627,623.48,783,748,0
13637,568.35,783,747,0
13647,505.97,783,748,0
13657,442.25,783,748,0
13667,384.23,783,748,0
13677,333.72,783,747,0
13687,293.91,783,748,0
13697,263.89,783,748,0
13707,245.24,783,748,0
13717,235.27,783,748,0
13727,234.20,783,748,0
13737,238.51,783,747,0
13747,248.04,783,748,0
13757,259.17,783,748,0
13767,272.06,783,748,0
13777,283.70,783,747,0
13787,294.76,783,748,0
13797,302.89,783,748,0
13807,309.40,783,748,0
13817,312.41,783,747,0
13827,313.87,783,748,0
13837,312.32,783,748,0
13847,309.83,783,748,0
13857,305.08,783,747,0
13868,300.30,783,748,0
13878,294.29,783,747,0
13888,289.19,783,748,0
13898,283.65,783,747,0
13908,279.73,783,748,0
13918,275.95,783,747,0
13928,274.08,783,748,0
13938,272.13,783,747,0
13948,272.00,783,749,0
13958,271.75,783,747,0
13968,273.28,783,748,0
13978,274.48,783,747,0
13988,277.04,783,749,0
13998,279.21,783,747,0
14008,282.79,783,748,0
14018,285.72,783,747,0
14028,289.96,783,749,0
14039,293.32,783,747,0
14049,297.64,783,748,0
14059,300.96,783,747,0
14069,305.17,783,748,0
14080,309.19,783,747,0
14089,316.03,783,748,0
14099,326.05,783,747,0
14109,343.65,783,748,0
14119,370.63,783,747,0
14138,408.28,773,746,0
14141,452.43,773,748,0
14150,501.03,773,749,0
14160,550.35,773,747,0
14170,598.03,773,748,0
14180,639.81,773,747,0
14190,672.52,773,749,0
14200,695.42,773,747,0
14210,711.45,773,748,0
14220,722.67,773,747,0
14230,730.57,773,749,0
14240,736.06,773,747,0
14251,739.90,773,748,0
14260,742.59,773,747,0
14270,744.47,773,749,0
14280,745.74,773,747,0
14290,746.63,773,748,0
14300,747.21,773,747,0
14310,747.66,773,749,0
14320,747.94,773,747,0
14330,748.13,773,748,0
14340,742.90,773,747,0
14350,729.39,773,749,0
14360,704.93,773,747,0
14370,669.89,773,748,0
14380,624.20,773,747,0
14390,569.88,773,749,0
14400,507.56,773,747,0
14410,445.16,773,749,0
14420,386.87,773,746,0
14430,337.84,773,749,0
14440,298.29,773,747,0
14450,270.13,773,749,0
14460,251.62,773,747,0
14470,243.03,773,749,0
14480,241.57,773,747,0
14490,246.58,773,749,0
14500,254.85,773,746,0
14510,266.30,773,749,0
14520,277.91,773,747,0
14530,289.63,773,749,0
14540,299.47,773,746,0
14551,307.82,773,749,0
14561,313.14,773,747,0
14571,316.44,773,748,0
14581,316.61,773,746,0
14592,315.10,773,749,0
14601,311.25,773,747,0
14611,306.85,773,749,0
14621,301.15,773,746,0
14631,295.71,773,749,0
14641,289.88,773,747,0
14651,284.99,773,748,0
14661,280.41,773,746,0
14671,277.16,773,749,0
14681,274.28,773,747,0
14691,272.87,773,749,0
14701,272.01,773,746,0
14711,272.31,773,749,0
14721,272.73,773,746,0
14731,274.27,773,749,0
14741,275.86,773,746,0
14751,278.13,773,749,0
14761,280.36,773,746,0
14771,283.08,773,749,0
14781,285.54,773,746,0
14791,288.64,773,749,0
14801,291.27,773,746,0
14811,294.32,773,749,0
14821,296.97,773,746,0
14831,300.06,773,749,0
14841,303.77,773,746,0
14851,310.87,773,749,0
14861,322.74,773,746,0
14871,343.43,773,749,0
14881,375.96,773,747,0
14901,417.67,763,745,0
14904,465.08,763,747,0
14913,515.89,763,749,0
14923,566.41,763,747,0
14934,613.77,763,749,0
14943,653.65,763,746,0
14953,682.21,763,749,0
14963,702.21,763,747,0
14973,716.25,763,749,0
14983,726.07,763,747,0
14993,732.95,763,749,0
15003,737.77,763,747,0
15013,741.14,763,749,0
15023,743.49,763,746,0
15033,745.15,763,749,0
15043,746.30,763,747,0
15053,747.11,763,749,0
15063,747.68,763,746,0
15073,748.07,763,749,0
15083,748.35,763,747,0
15093,748.55,763,749,0
15104,748.68,763,746,0
15113,748.78,763,749,0
15123,748.84,763,747,0
15133,745.51,763,749,0
15143,734.81,763,746,0
15153,714.64,763,748,0
15163,684.28,763,747,0
15173,643.69,763,749,0
15183,593.99,763,746,0
15193,536.39,763,748,0
15203,475.84,763,747,0
15213,417.73,763,749,0
15223,365.87,763,747,0
15233,322.11,763,748,0
15243,287.58,763,747,0
15253,261.95,763,749,0
15263,244.73,763,746,0
15273,234.44,763,748,0
15283,230.07,763,747,0
15293,229.75,763,749,0
15303,232.61,763,747,0
15313,237.10,763,748,0
