Time,PPG,IBI,GSR,GSR_Event
5796,375.37,844,756,0
5806,377.49,844,755,0
5816,376.48,844,756,0
5826,373.34,844,757,0
5836,368.27,844,757,0
5847,362.14,844,757,0
5857,355.16,844,757,0
5867,348.55,844,757,0
5877,343.63,844,756,0
5888,339.93,844,757,0
5897,336.99,844,757,0
5907,334.94,844,757,0
5917,333.28,844,757,0
5927,332.17,844,757,0
5937,331.09,844,757,0
5947,330.38,844,757,0
5957,329.66,844,757,0
5967,329.29,844,757,0
5977,328.91,844,757,0
5987,328.85,844,757,0
5997,328.77,844,757,0
6007,329.05,844,756,0
6017,329.33,844,757,0
6027,329.96,844,757,0
6037,330.49,844,756,0
6047,331.24,844,756,0
6057,331.86,844,756,0
6067,332.67,844,757,0
6077,333.24,844,756,0
6087,333.94,844,756,0
6097,334.43,844,756,0
6107,335.16,844,756,0
6117,336.01,844,756,0
6127,337.72,844,756,0
6137,340.51,844,756,0
6147,345.50,844,757,0
6157,353.45,844,756,0
6167,365.91,844,756,0
6177,383.77,844,756,0
6188,408.57,844,756,0
6207,440.71,843,756,0
6209,480.35,843,756,0
6219,524.01,843,756,0
6230,568.83,843,757,0
6239,612.13,843,756,0
6249,651.86,843,756,0
6259,685.80,843,756,0
6269,712.56,843,757,0
6279,731.29,843,756,0
6289,744.40,843,756,0
6299,753.58,843,756,0
6309,760.01,843,757,0
6319,764.51,843,756,0
6329,767.65,843,756,0
6339,769.86,843,756,0
6349,768.61,843,757,0
6359,761.70,843,756,0
6369,747.52,843,756,0
6379,724.74,843,756,0
6389,693.06,843,757,0
6400,652.37,843,756,0
6409,603.62,843,756,0
6419,550.20,843,757,0
6429,495.76,843,757,0
6439,443.03,843,757,0
6449,394.85,843,756,0
6459,352.68,843,757,0
6469,318.10,843,757,0
6479,291.07,843,757,0
6489,272.02,843,756,0
6499,260.40,843,756,0
6509,255.91,843,757,0
6519,257.44,843,756,0
6529,264.21,843,756,0
6539,274.64,843,757,0
6549,287.99,843,757,0
6559,302.91,843,757,0
6569,318.62,843,757,0
6579,333.95,843,757,0
6589,348.41,843,757,0
6599,361.14,843,757,0
6609,372.16,843,757,0
6619,380.90,843,757,0
6629,387.57,843,757,0
6639,391.94,843,757,0
6649,394.40,843,757,0
6659,394.92,843,756,0
6669,394.13,843,757,0
6679,391.91,843,757,0
6689,388.81,843,757,0
6700,384.75,843,756,0
6710,380.33,843,757,0
6720,375.47,843,757,0
6730,370.62,843,757,0
6740,365.59,843,756,0
6750,360.87,843,757,0
6760,356.28,843,757,0
6770,352.21,843,757,0
6780,348.38,843,757,0
6790,345.18,843,757,0
6800,342.12,843,757,0
6810,339.56,843,757,0
6820,337.33,843,756,0
6830,335.65,843,756,0
6840,334.21,843,756,0
6850,333.42,843,757,0
6860,332.99,843,756,0
6871,333.55,843,757,0
