Time,PPG,IBI,GSR,GSR_Event
349100,303.54,572,790,0
349110,278.99,572,795,0
349120,261.30,572,790,0
349130,250.36,572,795,0
349140,245.80,572,790,0
349150,246.72,572,795,0
349160,252.20,572,790,0
349170,261.53,572,794,0
349180,274.10,572,790,0
349190,288.04,572,795,0
349200,302.08,572,790,0
349210,315.13,572,795,0
349220,326.53,572,790,0
349230,335.76,572,795,0
349240,342.52,572,790,0
349250,346.69,572,794,0
349260,348.41,572,790,0
349271,347.86,572,795,0
349281,345.37,572,790,0
349291,341.36,572,795,0
349301,336.15,572,791,0
349312,330.15,572,795,0
349321,323.80,572,790,0
349331,317.39,572,794,0
349341,311.32,572,791,0
349351,305.91,572,795,0
349361,301.82,572,790,0
349371,299.86,572,794,0
349381,301.23,572,791,0
349391,307.29,572,795,0
349401,319.42,572,790,0
349411,339.14,572,795,0
349421,367.77,572,791,0
349431,405.72,572,795,0
349441,451.83,572,790,0
349451,502.07,572,795,0
349461,552.96,572,790,0
349480,601.70,602,791,0
349484,645.68,602,794,0
349492,682.63,602,795,0
349502,711.07,602,792,0
349512,731.02,602,795,0
349522,745.03,602,792,0
349532,754.88,602,795,0
349542,761.81,602,792,0
349552,766.67,602,795,0
349562,770.07,602,792,0
349572,772.45,602,795,0
349582,774.07,602,791,0
349592,771.65,602,795,0
349602,762.71,602,792,0
349612,745.74,602,795,0
349622,719.55,602,792,0
349632,683.73,602,795,0
349642,638.51,602,792,0
349652,584.53,602,795,0
349662,526.55,602,792,0
349672,468.40,602,795,0
349682,413.30,602,792,0
349692,363.92,602,795,0
349702,322.20,602,792,0
349712,289.27,602,795,0
349722,265.75,602,792,0
349732,251.21,602,795,0
349742,245.10,602,792,0
349752,246.14,602,794,0
349762,253.17,602,792,0
349772,264.56,602,795,0
349783,278.84,602,792,0
349793,294.36,602,795,0
349803,309.94,602,793,0
349813,324.40,602,795,0
349824,337.01,602,794,0
349833,347.03,602,795,0
349843,354.35,602,793,0
349853,358.70,602,795,0
349863,360.42,602,793,0
349873,359.61,602,795,0
349883,356.77,602,793,0
349893,352.30,602,795,0
349903,346.68,602,793,0
349913,340.22,602,795,0
349923,333.47,602,793,0
349933,326.73,602,795,0
349943,320.89,602,793,0
349953,316.73,602,795,0
349963,315.69,602,793,0
349973,319.30,602,794,0
349983,329.50,602,793,0
349993,347.86,602,795,0
350003,375.50,602,793,0
350013,412.85,602,795,0
350023,458.50,602,794,0
350033,508.36,602,795,0
350043,559.04,602,793,0
350062,607.24,582,793,0
350065,650.33,582,794,0
350074,686.36,582,794,0
350084,713.81,582,794,0
350094,733.06,582,794,0
350104,746.55,582,794,0
350114,755.98,582,794,0
350124,762.59,582,794,0
350134,767.21,582,794,0
350144,770.45,582,795,0
350154,770.36,582,794,0
350164,764.46,582,795,0
350174,751.04,582,795,0
350184,728.74,582,794,0
350194,696.76,582,794,0
350204,655.09,582,795,0
350214,604.32,582,794,0
350224,547.70,582,794,0
350234,488.94,582,794,0
350244,431.58,582,794,0
350254,378.52,582,795,0
350264,332.33,582,794,0
350274,294.52,582,794,0
350284,265.99,582,795,0
350295,246.92,582,793,0
350305,237.30,582,795,0
350315,235.97,582,793,0
350325,241.85,582,795,0
350336,253.17,582,793,0
350345,268.37,582,795,0
350355,285.58,582,793,0
350365,303.40,582,795,0
350375,320.30,582,792,0
350385,335.46,582,795,0
350395,347.97,582,793,0
350405,357.58,582,795,0
350415,363.96,582,793,0
350425,367.36,582,795,0
350435,367.77,582,793,0
350445,365.78,582,795,0
350455,361.56,582,793,0
350465,355.82,582,795,0
350475,348.76,582,793,0
350485,341.03,582,795,0
350495,332.88,582,792,0
350505,325.29,582,795,0
350515,318.86,582,792,0
350525,315.30,582,795,0
350535,316.02,582,792,0
350545,323.30,582,795,0
350555,338.43,582,793,0
350565,363.33,582,795,0
350575,398.50,582,792,0
350585,443.31,582,795,0
350595,493.32,582,793,0
350605,544.99,582,795,0
350615,594.79,582,793,0
350625,640.24,582,795,0
350645,678.66,583,794,0
350648,708.42,583,794,0
350657,729.25,583,791,0
350667,743.87,583,795,0
350678,754.11,583,790,0
350687,761.28,583,795,0
350697,766.29,583,791,0
350707,769.33,583,795,0
350717,767.52,583,790,0
350727,759.14,583,795,0
350737,742.29,583,791,0
350747,715.93,583,795,0
350757,679.61,583,790,0
350767,633.79,583,795,0
350777,579.34,583,791,0
350787,520.56,583,795,0
350797,460.69,583,790,0
350807,403.36,583,795,0
350817,351.18,583,791,0
350827,306.34,583,795,0
350837,269.89,583,790,0
350848,242.80,583,795,0
350857,225.03,583,790,0
350867,216.32,583,795,0
350877,215.62,583,790,0
350887,221.82,583,795,0
350897,233.23,583,791,0
350907,248.38,583,795,0
350917,265.58,583,790,0
350927,283.58,583,795,0
350937,300.89,583,791,0
350947,316.61,583,795,0
350957,329.88,583,791,0
350967,340.33,583,795,0
350977,347.56,583,790,0
350987,351.72,583,795,0
350997,352.88,583,790,0
351007,351.54,583,795,0
