Time,PPG,IBI,GSR,GSR_Event
3920292,557.29,833,752,0
3920302,609.36,833,759,0
3920312,655.11,833,751,0
3920322,691.67,833,760,0
3920332,717.27,833,750,0
3920343,735.19,833,759,0
3920353,747.73,833,751,0
3920363,756.47,833,760,0
3920373,762.63,833,751,0
3920384,766.94,833,759,0
3920393,769.96,833,750,0
3920403,772.07,833,760,0
3920413,773.55,833,750,0
3920423,774.58,833,759,0
3920433,775.31,833,750,0
3920443,775.82,833,760,0
3920453,776.17,833,751,0
3920463,776.42,833,759,0
3920473,776.59,833,750,0
3920483,776.72,833,760,0
3920493,775.00,833,750,0
3920503,766.82,833,759,0
3920513,749.73,833,750,0
3920523,722.25,833,759,0
3920533,684.08,833,750,0
3920543,635.80,833,759,0
3920553,578.69,833,751,0
3920563,516.12,833,759,0
3920573,454.37,833,750,0
3920583,397.43,833,759,0
3920593,348.27,833,751,0
3920603,308.42,833,759,0
3920613,278.25,833,750,0
3920623,257.18,833,759,0
3920633,244.14,833,751,0
3920643,237.75,833,759,0
3920653,236.58,833,750,0
3920663,239.11,833,759,0
3920673,244.00,833,751,0
3920684,250.05,833,759,0
3920694,256.38,833,752,0
3920704,262.18,833,757,0
3920714,267.14,833,752,0
3920724,270.87,833,757,0
3920734,273.35,833,751,0
3920744,274.53,833,757,0
3920754,274.63,833,752,0
3920764,273.75,833,757,0
3920774,272.24,833,752,0
3920784,270.16,833,757,0
3920794,267.88,833,752,0
3920804,265.52,833,757,0
3920814,263.30,833,752,0
3920824,261.37,833,758,0
3920834,259.89,833,752,0
3920844,258.85,833,757,0
3920855,258.42,833,752,0
3920865,258.43,833,757,0
3920875,258.94,833,753,0
3920885,259.82,833,757,0
3920896,261.03,833,753,0
3920905,262.31,833,757,0
3920915,263.63,833,753,0
3920925,264.73,833,756,0
3920935,265.84,833,753,0
3920945,266.79,833,757,0
3920955,268.14,833,753,0
3920965,270.58,833,756,0
3920975,275.72,833,753,0
3920985,285.02,833,757,0
3920995,300.83,833,753,0
3921005,325.26,833,757,0
3921025,360.76,773,756,0
3921028,406.77,773,754,0
3921037,459.21,773,756,0
3921047,514.31,773,755,0
3921057,568.94,773,756,0
3921068,619.75,773,755,0
3921078,663.62,773,756,0
3921088,697.64,773,754,0
3921098,721.44,773,757,0
3921108,738.11,773,754,0
3921118,749.82,773,756,0
3921128,758.02,773,754,0
3921138,763.80,773,757,0
3921148,767.84,773,754,0
3921158,770.68,773,756,0
3921168,772.66,773,755,0
3921178,774.05,773,756,0
3921188,774.98,773,754,0
3921198,775.63,773,756,0
3921208,776.04,773,754,0
3921218,776.33,773,756,0
3921228,776.53,773,754,0
3921239,776.71,773,757,0
3921249,776.84,773,754,0
3921259,776.12,773,758,0
