Time,PPG,IBI,GSR,GSR_Event
421527,707.28,783,767,0
421537,681.39,783,764,0
421548,646.52,783,766,0
421558,605.78,783,766,0
421568,561.27,783,766,0
421578,515.63,783,766,0
421588,470.40,783,766,0
421598,428.19,783,766,0
421608,395.87,783,766,0
421618,371.56,783,766,0
421628,353.91,783,766,0
421638,342.49,783,766,0
421648,335.96,783,766,0
421658,334.04,783,766,0
421668,335.57,783,766,0
421678,340.20,783,766,0
421688,346.78,783,766,0
421698,355.08,783,766,0
421708,364.27,783,766,0
421719,374.22,783,766,0
421729,384.05,783,766,0
421739,393.76,783,767,0
421749,402.58,783,766,0
421760,410.55,783,767,0
421769,417.11,783,766,0
421779,422.26,783,767,0
421789,425.31,783,766,0
421799,426.72,783,767,0
421809,425.99,783,766,0
421819,423.85,783,767,0
421829,419.82,783,766,0
421839,414.60,783,767,0
421849,408.04,783,766,0
421859,401.08,783,766,0
421869,393.34,783,766,0
421879,385.70,783,767,0
421889,377.90,783,766,0
421899,370.95,783,767,0
421909,364.45,783,766,0
421919,358.96,783,767,0
421929,353.96,783,765,0
421939,349.94,783,767,0
421949,346.36,783,766,0
421959,343.72,783,767,0
421969,341.36,783,765,0
421979,339.84,783,767,0
421989,338.69,783,766,0
421999,338.35,783,767,0
422009,338.25,783,765,0
422019,338.86,783,766,0
422029,339.59,783,766,0
422039,340.95,783,767,0
422049,342.25,783,765,0
422060,343.98,783,767,0
422070,345.57,783,765,0
422080,347.50,783,767,0
422090,349.23,783,765,0
422100,351.26,783,768,0
422110,353.16,783,765,0
422120,355.51,783,767,0
422130,358.19,783,765,0
422140,362.16,783,768,0
422150,367.60,783,765,0
422160,375.82,783,768,0
422170,387.10,783,765,0
422180,402.76,783,767,0
422190,422.93,783,766,0
422200,448.32,783,768,0
422210,478.18,783,765,0
422230,512.41,793,766,0
422233,549.53,793,768,0
422242,587.26,793,770,0
422252,623.18,793,766,0
422262,656.00,793,770,0
422273,684.24,793,767,0
422283,707.53,793,770,0
422293,725.33,793,766,0
422303,737.83,793,770,0
422313,746.58,793,767,0
422323,751.72,793,770,0
422333,751.98,793,766,0
422343,746.71,793,770,0
422353,734.97,793,766,0
422363,716.76,793,769,0
422373,691.81,793,766,0
422383,660.32,793,770,0
422393,623.75,793,766,0
422403,584.96,793,770,0
