Time,PPG,IBI,GSR,GSR_Event
1054571,391.38,863,756,0
1054581,399.75,863,752,0
1054601,408.35,874,752,0
1054604,420.80,874,756,0
1054613,437.71,874,755,0
1054623,458.58,874,755,0
1054633,481.72,874,755,0
1054643,507.73,874,755,0
1054653,539.61,874,755,0
1054663,573.03,874,755,0
1054673,601.73,874,755,0
1054683,623.84,874,754,0
1054693,637.30,874,755,0
1054703,642.48,874,755,0
1054713,638.91,874,754,0
1054723,627.84,874,754,0
1054733,609.76,874,755,0
1054743,587.03,874,755,0
1054753,560.28,874,754,0
1054764,531.99,874,755,0
1054774,502.72,874,755,0
1054784,474.65,874,755,0
1054794,448.14,874,754,0
1054804,425.00,874,755,0
1054814,404.81,874,755,0
1054824,388.88,874,755,0
1054834,376.10,874,754,0
1054844,367.63,874,755,0
1054854,362.17,874,755,0
1054864,360.23,874,755,0
1054874,360.38,874,754,0
1054884,363.18,874,755,0
1054894,367.02,874,755,0
1054904,372.50,874,755,0
1054914,377.88,874,754,0
1054924,383.96,874,755,0
1054935,389.37,874,754,0
1054945,394.75,874,755,0
1054955,398.68,874,753,0
1054965,402.08,874,756,0
1054976,403.64,874,754,0
1054985,404.65,874,755,0
1054995,403.81,874,753,0
1055005,402.37,874,755,0
1055015,399.26,874,754,0
1055025,395.92,874,755,0
1055035,391.45,874,754,0
1055045,387.37,874,756,0
1055055,382.50,874,754,0
1055065,378.41,874,755,0
1055075,373.96,874,754,0
1055085,370.67,874,756,0
1055095,367.13,874,754,0
1055105,364.56,874,755,0
1055115,361.86,874,754,0
1055125,360.32,874,755,0
1055135,358.51,874,754,0
1055145,357.71,874,756,0
1055155,356.56,874,754,0
1055165,356.35,874,755,0
1055175,355.81,874,754,0
1055185,356.04,874,756,0
1055195,355.73,874,754,0
1055205,356.20,874,755,0
1055215,356.05,874,754,0
1055225,356.68,874,756,0
1055235,356.69,874,754,0
1055245,357.43,874,755,0
1055255,357.60,874,754,0
1055265,358.66,874,756,0
1055276,359.19,874,753,0
1055286,360.38,874,756,0
1055296,360.61,874,753,0
1055306,361.45,874,756,0
1055316,361.75,874,753,0
1055326,362.55,874,756,0
1055336,362.73,874,753,0
1055346,364.05,874,756,0
1055356,365.97,874,753,0
1055366,370.56,874,756,0
1055376,377.08,874,753,0
1055386,387.30,874,756,0
1055396,400.79,874,753,0
1055406,418.86,874,756,0
1055425,440.03,825,754,0
1055428,464.71,825,757,0
1055437,491.58,825,753,0
1055447,520.29,825,756,0
1055457,548.06,825,754,0
1055467,574.53,825,756,0
1055477,597.04,825,753,0
1055488,615.63,825,756,0
1055497,628.38,825,753,0
1055507,635.04,825,756,0
1055517,634.38,825,753,0
1055527,627.80,825,756,0
1055537,614.79,825,753,0
1055547,597.24,825,756,0
1055557,575.01,825,753,0
1055567,550.36,825,755,0
1055577,523.47,825,753,0
1055587,496.89,825,755,0
1055597,470.61,825,753,0
1055607,446.60,825,755,0
1055617,424.65,825,753,0
1055627,406.49,825,756,0
1055637,391.30,825,753,0
1055647,380.24,825,755,0
1055657,371.98,825,753,0
1055667,367.49,825,756,0
1055677,365.20,825,753,0
1055687,366.17,825,755,0
1055697,368.30,825,753,0
1055707,372.41,825,755,0
1055717,377.90,825,753,0
1055727,384.32,825,755,0
1055737,390.18,825,753,0
1055747,396.43,825,755,0
1055757,401.27,825,753,0
1055767,405.99,825,755,0
1055777,409.33,825,753,0
1055788,411.25,825,756,0
1055798,411.86,825,753,0
1055808,411.90,825,755,0
1055818,410.47,825,753,0
1055828,408.66,825,756,0
1055838,405.76,825,753,0
1055848,402.71,825,755,0
