Time,PPG,IBI,GSR,GSR_Event
373149,398.22,543,749,0
373159,392.58,543,747,0
373169,387.14,543,749,0
373179,383.41,543,747,0
373189,381.83,543,749,0
373199,383.08,543,748,0
373209,386.57,543,749,0
373219,394.16,543,748,0
373229,407.57,543,750,0
373239,422.10,543,748,0
373249,435.44,543,750,0
373259,446.28,543,747,0
373269,453.27,543,749,0
373279,456.87,543,748,0
373289,456.44,543,749,0
373299,453.01,543,747,0
373309,446.92,543,749,0
373319,439.57,543,748,0
373329,431.39,543,749,0
373339,423.60,543,747,0
373349,416.56,543,749,0
373359,411.55,543,747,0
373369,408.47,543,749,0
373379,407.90,543,747,0
373389,409.43,543,749,0
373399,413.37,543,748,0
373409,419.00,543,749,0
373420,426.07,543,747,0
373430,433.42,543,749,0
373440,441.05,543,748,0
373450,448.11,543,749,0
373460,454.63,543,747,0
373470,459.89,543,749,0
373480,464.33,543,748,0
373490,467.28,543,749,0
373500,469.42,543,747,0
373510,470.11,543,749,0
373520,470.12,543,748,0
373530,468.71,543,749,0
373540,466.96,543,748,0
373550,464.23,543,749,0
373560,461.42,543,748,0
373570,457.69,543,749,0
373580,453.97,543,747,0
373591,449.52,543,748,0
373601,445.46,543,748,0
373611,440.83,543,748,0
373621,436.72,543,748,0
373632,432.26,543,748,0
373641,428.63,543,748,0
373651,424.88,543,749,0
373661,422.17,543,748,0
373671,419.38,543,748,0
373681,417.64,543,748,0
373691,415.77,543,749,0
373701,414.90,543,748,0
373711,413.86,543,748,0
373721,413.69,543,748,0
373731,413.05,543,749,0
373741,413.04,543,748,0
373751,412.38,543,748,0
373761,412.22,543,748,0
373771,411.56,543,749,0
373781,411.26,543,748,0
373791,410.15,543,748,0
373801,409.42,543,748,0
373811,408.05,543,749,0
373821,407.14,543,748,0
373831,405.51,543,748,0
373841,404.29,543,748,0
373851,402.57,543,749,0
373861,401.50,543,748,0
373871,400.15,543,748,0
373881,399.76,543,748,0
373891,399.49,543,749,0
373901,400.63,543,748,0
373911,402.20,543,748,0
373921,405.40,543,748,0
373932,409.48,543,749,0
373942,415.25,543,748,0
373952,421.30,543,748,0
373962,428.75,543,749,0
373972,436.16,543,748,0
373982,444.34,543,748,0
373992,451.87,543,748,0
374011,459.45,1074,749,0
374014,467.97,1074,751,0
374023,477.62,1074,751,0
374033,485.15,1074,749,0
374043,490.98,1074,750,0
374053,493.43,1074,749,0
374063,493.94,1074,750,0
374073,491.39,1074,749,0
374083,485.27,1074,750,0
374093,475.68,1074,749,0
374103,465.92,1074,750,0
374113,455.96,1074,749,0
374123,447.70,1074,750,0
374133,440.07,1074,749,0
374144,434.52,1074,750,0
374153,429.82,1074,749,0
374163,427.00,1074,750,0
374173,424.60,1074,749,0
374183,423.61,1074,750,0
374193,422.65,1074,749,0
374203,422.76,1074,750,0
374213,422.53,1074,749,0
374223,423.01,1074,750,0
374233,422.97,1074,749,0
374243,423.62,1074,750,0
374253,423.65,1074,749,0
374263,424.27,1074,750,0
374273,424.10,1074,749,0
374283,424.46,1074,750,0
374293,424.23,1074,750,0
374303,424.46,1074,751,0
374313,423.77,1074,749,0
374323,423.24,1074,750,0
374333,421.67,1074,750,0
374343,420.31,1074,750,0
374353,417.86,1074,749,0
374363,415.46,1074,750,0
374373,412.02,1074,749,0
374383,409.06,1074,750,0
374393,405.53,1074,749,0
374403,402.84,1074,750,0
374413,399.93,1074,750,0
374423,398.19,1074,750,0
374433,396.42,1074,749,0
374444,396.21,1074,750,0
374454,396.40,1074,749,0
374464,398.34,1074,751,0
374474,400.89,1074,749,0
374484,405.26,1074,751,0
374494,410.24,1074,749,0
374504,416.94,1074,751,0
374514,423.90,1074,749,0
374524,431.94,1074,751,0
374543,439.72,532,749,0
374546,447.82,532,751,0
374555,455.54,532,749,0
374565,463.05,532,751,0
374575,469.04,532,749,0
374585,474.21,532,751,0
374595,477.49,532,749,0
374605,479.74,532,751,0
374615,480.21,532,749,0
374625,479.33,532,751,0
374635,476.92,532,749,0
374645,474.20,532,751,0
374656,470.54,532,749,0
374665,467.08,532,751,0
374675,463.07,532,749,0
374685,459.32,532,751,0
374695,455.11,532,749,0
374705,451.35,532,751,0
374715,447.09,532,749,0
374725,443.25,532,750,0
374735,439.06,532,749,0
374745,435.44,532,751,0
374755,431.71,532,749,0
374765,428.71,532,751,0
374775,425.58,532,749,0
374785,423.22,532,750,0
374795,420.84,532,749,0
374805,419.05,532,750,0
374815,417.10,532,749,0
374825,415.70,532,751,0
374835,413.95,532,749,0
374845,412.68,532,750,0
374855,411.02,532,749,0
374865,409.64,532,751,0
374875,407.82,532,749,0
374885,406.33,532,750,0
374895,404.43,532,749,0
374905,402.80,532,751,0
374915,400.72,532,749,0
374925,399.00,532,750,0
374935,396.95,532,749,0
374945,395.33,532,751,0
374956,393.43,532,749,0
374966,391.89,532,750,0
374976,390.34,532,749,0
374986,389.29,532,751,0
374996,388.35,532,749,0
375006,388.03,532,750,0
375016,387.89,532,749,0
375026,388.57,532,751,0
375036,389.85,532,749,0
375046,392.08,532,750,0
375056,394.84,532,749,0
375066,398.45,532,751,0
375076,402.56,532,749,0
375086,407.40,532,750,0
375096,412.38,532,749,0
375106,417.58,532,751,0
375116,422.42,532,749,0
375127,427.10,532,750,0
375137,431.10,532,749,0
375147,434.54,532,751,0
375157,437.16,532,749,0
375168,439.00,532,750,0
375177,440.03,532,748,0
375187,440.41,532,751,0
375197,440.16,532,749,0
375207,439.25,532,750,0
375217,437.85,532,748,0
375227,435.96,532,751,0
375237,433.83,532,749,0
375247,431.27,532,750,0
375257,428.49,532,748,0
375267,425.51,532,751,0
375277,422.62,532,749,0
375287,419.65,532,750,0
375297,416.75,532,748,0
375307,414.04,532,751,0
375317,411.63,532,748,0
375327,409.43,532,750,0
375337,407.46,532,749,0
375347,405.73,532,751,0
375357,404.31,532,749,0
375367,403.02,532,750,0
375377,401.86,532,749,0
375387,400.79,532,751,0
375397,399.86,532,748,0
375407,398.92,532,751,0
375417,398.04,532,749,0
375427,397.17,532,751,0
375437,396.35,532,748,0
375447,395.56,532,751,0
375457,394.79,532,748,0
375468,393.83,532,751,0
375478,392.98,532,749,0
375488,391.83,532,750,0
375498,390.81,532,748,0
375508,389.67,532,750,0
375518,388.57,532,749,0
375528,387.41,532,750,0
375538,386.56,532,749,0
375548,385.62,532,750,0
375558,385.09,532,749,0
375568,384.42,532,750,0
375578,384.38,532,749,0
375588,384.35,532,751,0
375598,384.93,532,749,0
375608,385.72,532,751,0
375618,387.22,532,748,0
375628,389.13,532,750,0
375639,391.87,532,749,0
375649,394.65,532,750,0
375659,398.32,532,749,0
375669,401.82,532,750,0
375680,405.82,532,749,0
375689,409.64,532,751,0
375699,413.39,532,749,0
375709,416.32,532,750,0
375719,419.18,532,749,0
375729,420.97,532,750,0
375739,422.61,532,749,0
375749,423.15,532,750,0
375759,423.28,532,749,0
375769,422.64,532,751,0
375779,422.06,532,749,0
375789,420.67,532,750,0
375799,419.53,532,749,0
375809,417.70,532,751,0
375828,416.16,0,749,0
375831,414.10,0,750,0
375840,412.87,0,749,0
375851,411.28,0,750,0
375860,410.30,0,749,0
375870,408.79,0,750,0
375880,407.87,0,749,0
375890,406.45,0,750,0
375900,405.67,0,749,0
375910,403.97,0,750,0
375920,402.87,0,749,0
375930,401.23,0,750,0
375940,400.31,0,749,0
375950,399.01,0,750,0
375960,398.54,0,749,0
375970,397.73,0,750,0
375980,397.60,0,749,0
375990,396.95,0,750,0
376000,396.96,0,749,0
376010,396.42,0,750,0
376020,396.46,0,749,0
376030,395.90,0,750,0
376040,395.84,0,749,0
376050,395.16,0,750,0
376060,395.07,0,749,0
376070,394.41,0,750,0
376080,394.33,0,749,0
376090,393.59,0,750,0
376100,393.41,0,749,0
376110,392.64,0,750,0
376120,392.45,0,749,0
376130,391.63,0,750,0
376140,391.40,0,749,0
376151,390.72,0,750,0
376161,390.85,0,750,0
376171,390.68,0,750,0
376181,391.46,0,749,0
376192,392.22,0,750,0
376201,394.13,0,749,0
376211,395.97,0,750,0
376221,398.90,0,749,0
376231,401.58,0,750,0
376241,405.22,0,750,0
376251,408.33,0,750,0
376261,412.00,0,749,0
376271,414.87,0,750,0
376290,418.12,462,749,0
376293,420.44,462,750,0
376302,423.44,462,750,0
376312,425.45,462,749,0
376322,427.72,462,750,0
376332,428.79,462,749,0
376342,429.88,462,750,0
376352,429.70,462,749,0
376363,429.49,462,750,0
376372,427.67,462,749,0
376382,425.84,462,750,0
376392,423.02,462,749,0
376402,420.61,462,750,0
376412,417.60,462,749,0
376422,415.32,462,750,0
376432,412.61,462,749,0
376442,410.71,462,750,0
376452,408.57,462,750,0
376462,407.33,462,750,0
376472,405.77,462,749,0
376482,405.11,462,750,0
376492,404.14,462,750,0
376502,404.09,462,750,0
376512,403.72,462,749,0
376522,404.19,462,750,0
376532,404.09,462,749,0
376542,404.75,462,750,0
376552,404.82,462,749,0
376562,405.48,462,750,0
376572,405.42,462,749,0
376582,405.85,462,750,0
376592,405.47,462,749,0
376602,405.63,462,750,0
376612,405.01,462,749,0
376622,404.84,462,750,0
376632,403.90,462,749,0
376642,403.46,462,750,0
376652,402.38,462,749,0
376663,401.84,462,750,0
376673,400.64,462,749,0
376683,400.06,462,750,0
376693,398.97,462,749,0
376704,398.55,462,750,0
376713,397.66,462,749,0
376723,397.63,462,750,0
376733,397.36,462,749,0
376743,398.06,462,750,0
376753,398.60,462,749,0
376763,400.22,462,750,0
376773,401.91,462,749,0
376783,404.64,462,750,0
376793,407.15,462,749,0
376803,410.57,462,751,0
376822,413.66,532,749,0
376825,417.40,532,752,0
376834,421.05,532,749,0
376844,425.15,532,751,0
376854,428.54,532,749,0
376864,431.89,532,751,0
376875,434.15,532,748,0
376884,436.12,532,751,0
376894,436.94,532,749,0
376904,437.09,532,751,0
376914,435.82,532,748,0
376924,434.33,532,750,0
376934,432.00,532,749,0
376944,429.64,532,751,0
376954,426.79,532,748,0
376964,424.33,532,751,0
376974,421.49,532,749,0
376984,419.37,532,751,0
376994,417.07,532,748,0
377004,415.51,532,750,0
377014,413.90,532,749,0
377024,412.94,532,751,0
377034,411.85,532,748,0
377044,411.38,532,751,0
377054,410.71,532,749,0
377064,410.58,532,751,0
377074,410.24,532,748,0
377084,410.38,532,751,0
377094,410.31,532,749,0
377104,410.69,532,751,0
377114,410.52,532,748,0
377124,410.62,532,751,0
377134,410.31,532,749,0
377144,410.39,532,751,0
377154,410.01,532,749,0
377164,409.84,532,751,0
377175,409.07,532,749,0
377185,408.54,532,751,0
377195,407.60,532,748,0
377205,406.78,532,751,0
377216,405.52,532,749,0
377225,404.59,532,751,0
377235,403.39,532,749,0
377245,402.50,532,751,0
377255,401.66,532,749,0
377265,401.16,532,751,0
377275,400.77,532,749,0
377285,400.80,532,751,0
377295,401.07,532,749,0
377305,402.08,532,751,0
377315,403.47,532,749,0
377325,405.60,532,751,0
377335,408.25,532,749,0
377345,411.65,532,751,0
377355,415.35,532,749,0
377365,419.40,532,751,0
377384,423.44,562,750,0
377388,427.38,562,750,0
377396,431.51,562,749,0
377406,435.47,562,751,0
377416,439.06,562,749,0
377426,442.08,562,751,0
377436,444.37,562,749,0
377446,445.89,562,751,0
377456,446.82,562,749,0
377466,446.40,562,751,0
377476,445.13,562,749,0
377486,443.03,562,751,0
377496,440.58,562,749,0
377506,437.75,562,751,0
377516,434.87,562,749,0
377526,431.95,562,751,0
377536,429.26,562,749,0
377546,426.79,562,751,0
377556,424.62,562,749,0
377566,422.76,562,751,0
377576,421.29,562,748,0
377586,420.09,562,751,0
377596,419.25,562,749,0
377606,418.70,562,750,0
377616,418.45,562,749,0
377626,418.36,562,751,0
377636,418.38,562,749,0
377646,418.39,562,750,0
377656,418.49,562,748,0
377666,418.56,562,751,0
377676,418.65,562,749,0
377687,418.58,562,751,0
377697,418.54,562,749,0
377707,418.20,562,751,0
377717,418.06,562,749,0
377728,417.57,562,750,0
377737,417.14,562,749,0
377747,416.41,562,751,0
377757,415.86,562,749,0
377767,414.92,562,750,0
377777,414.21,562,749,0
377787,413.16,562,751,0
377797,412.51,562,749,0
377807,411.63,562,750,0
377817,410.88,562,749,0
377827,409.76,562,751,0
377837,409.02,562,749,0
377847,408.11,562,750,0
377857,407.74,562,749,0
377867,407.56,562,751,0
377877,408.25,562,749,0
377887,409.46,562,750,0
377897,411.89,562,749,0
377907,414.84,562,751,0
377917,418.79,562,749,0
377927,423.05,562,750,0
377947,427.96,562,749,0
377950,432.69,562,751,0
377959,438.27,562,750,0
377969,443.12,562,750,0
377979,447.97,562,750,0
377989,451.75,562,750,0
377999,455.21,562,749,0
378009,457.12,562,750,0
378019,458.54,562,749,0
378029,457.99,562,750,0
378039,457.09,562,749,0
378049,454.84,562,750,0
378059,452.61,562,749,0
378070,449.30,562,750,0
378079,446.34,562,749,0
378089,442.64,562,750,0
378099,439.49,562,749,0
378109,435.91,562,750,0
378119,433.20,562,749,0
378129,430.18,562,750,0
378139,428.11,562,749,0
378149,425.98,562,750,0
378159,424.91,562,749,0
378169,423.70,562,750,0
378179,423.49,562,749,0
378189,423.00,562,750,0
378199,423.38,562,749,0
378209,423.44,562,750,0
378219,424.17,562,749,0
378229,424.29,562,750,0
378240,424.97,562,750,0
378249,424.94,562,750,0
378259,425.30,562,749,0
378269,424.95,562,750,0
378279,424.97,562,749,0
378289,424.25,562,750,0
378299,423.96,562,749,0
378309,422.94,562,750,0
378319,422.40,562,750,0
378329,421.34,562,750,0
378339,420.81,562,749,0
378349,419.62,562,750,0
378359,418.96,562,750,0
378369,417.73,562,750,0
378379,417.17,562,749,0
378389,416.13,562,750,0
378399,415.79,562,750,0
378409,415.13,562,750,0
378419,415.56,562,749,0
378429,416.08,562,750,0
378439,417.94,562,750,0
378449,420.06,562,750,0
378459,423.60,562,749,0
378469,427.36,562,750,0
378479,432.35,562,750,0
378499,437.18,552,748,0
378502,442.95,552,751,0
378511,448.54,552,749,0
378521,454.42,552,750,0
