Time,PPG,IBI,GSR,GSR_Event
3529114,343.25,854,750,0
3529124,344.59,854,750,0
3529134,344.80,854,750,0
3529144,344.43,854,750,0
3529154,344.00,854,750,0
3529164,343.57,854,750,0
3529175,343.27,854,750,0
3529185,343.96,854,749,0
3529195,347.74,854,750,0
3529205,351.34,854,749,0
3529216,354.15,854,750,0
3529225,355.30,854,749,0
3529235,354.83,854,750,0
3529245,352.74,854,749,0
3529255,349.82,854,750,0
3529265,346.14,854,749,0
3529275,342.63,854,750,0
3529285,338.97,854,749,0
3529295,336.02,854,750,0
3529305,333.66,854,749,0
3529315,332.17,854,750,0
3529325,331.09,854,749,0
3529335,330.89,854,750,0
3529345,330.97,854,749,0
3529355,331.66,854,750,0
3529365,332.32,854,749,0
3529375,333.47,854,750,0
3529385,334.36,854,749,0
3529395,335.49,854,750,0
3529405,336.16,854,749,0
3529415,336.97,854,750,0
3529425,337.53,854,749,0
3529435,338.19,854,750,0
3529445,338.39,854,749,0
3529455,338.83,854,750,0
3529465,339.18,854,749,0
3529475,339.64,854,750,0
3529485,339.83,854,749,0
3529495,340.31,854,750,0
3529505,340.43,854,749,0
3529516,340.77,854,750,0
3529526,340.59,854,749,0
3529536,340.45,854,750,0
3529546,340.02,854,749,0
3529556,340.23,854,750,0
3529566,340.59,854,749,0
3529576,343.20,854,750,0
3529586,348.88,854,749,0
3529596,360.87,854,750,0
3529606,379.77,854,748,0
3529625,408.34,863,749,0
3529628,444.67,863,752,0
3529637,486.38,863,752,0
3529647,530.15,863,750,0
3529657,573.52,863,752,0
3529667,613.01,863,750,0
3529677,646.86,863,752,0
3529687,672.27,863,750,0
3529697,690.11,863,752,0
3529707,702.59,863,750,0
3529717,711.37,863,752,0
3529728,717.47,863,750,0
3529737,721.75,863,752,0
3529747,724.74,863,750,0
3529757,726.87,863,752,0
3529767,728.32,863,750,0
3529777,728.61,863,752,0
3529787,725.04,863,751,0
3529797,716.63,863,752,0
3529807,701.78,863,750,0
3529817,680.63,863,752,0
3529827,652.76,863,750,0
3529837,619.02,863,752,0
3529847,580.10,863,750,0
3529857,539.87,863,752,0
3529867,500.01,863,750,0
3529877,463.41,863,752,0
3529887,430.50,863,750,0
3529897,403.05,863,752,0
3529907,380.66,863,750,0
3529917,364.35,863,752,0
3529927,353.27,863,750,0
3529937,347.62,863,752,0
3529947,345.85,863,750,0
3529957,347.82,863,752,0
3529967,351.69,863,750,0
3529977,357.18,863,752,0
3529987,362.57,863,750,0
3529997,367.80,863,752,0
3530007,371.37,863,750,0
3530017,373.66,863,752,0
3530028,373.63,863,750,0
3530038,372.07,863,752,0
3530048,368.32,863,750,0
3530058,363.55,863,752,0
3530068,357.35,863,751,0
3530078,350.98,863,751,0
3530088,344.09,863,751,0
3530098,337.76,863,752,0
3530108,331.62,863,751,0
3530118,326.80,863,751,0
3530128,322.79,863,751,0
3530138,320.28,863,751,0
3530148,318.61,863,751,0
3530158,318.60,863,752,0
3530168,319.36,863,750,0
3530178,321.61,863,752,0
3530188,324.26,863,751,0
3530199,327.78,863,751,0
3530209,331.32,863,751,0
3530219,335.29,863,752,0
3530229,338.68,863,751,0
3530240,342.20,863,751,0
3530249,344.93,863,751,0
3530259,347.61,863,752,0
3530269,349.31,863,751,0
3530279,350.85,863,752,0
3530289,351.53,863,751,0
3530299,352.15,863,752,0
3530309,352.19,863,751,0
3530319,352.17,863,751,0
3530329,351.52,863,751,0
3530339,351.07,863,752,0
3530349,350.10,863,751,0
3530359,349.39,863,751,0
3530369,348.67,863,751,0
3530379,348.21,863,752,0
3530389,347.63,863,751,0
3530399,347.62,863,751,0
3530409,347.35,863,751,0
3530419,347.54,863,752,0
3530429,347.51,863,751,0
3530439,347.61,863,751,0
3530449,347.43,863,751,0
3530459,347.77,863,752,0
3530469,348.53,863,751,0
3530479,351.58,863,751,0
3530489,358.05,863,751,0
3530499,370.04,863,751,0
3530509,389.52,863,751,0
3530519,418.90,863,751,0
3530539,455.57,913,750,0
3530542,496.93,913,752,0
3530551,540.02,913,752,0
3530561,582.23,913,751,0
3530571,620.99,913,752,0
3530582,653.35,913,751,0
3530591,676.90,913,751,0
3530601,693.39,913,751,0
3530611,704.97,913,752,0
3530621,713.08,913,751,0
3530631,718.76,913,752,0
3530641,722.73,913,751,0
3530651,725.51,913,751,0
3530661,727.46,913,750,0
3530671,728.82,913,751,0
3530681,729.77,913,751,0
3530691,730.44,913,751,0
3530701,730.87,913,750,0
3530711,730.26,913,752,0
3530721,725.90,913,751,0
3530731,715.77,913,752,0
3530741,698.87,913,750,0
3530752,674.87,913,752,0
3530761,644.35,913,751,0
3530771,607.82,913,752,0
3530781,566.94,913,751,0
3530791,525.43,913,752,0
3530801,486.43,913,751,0
3530811,451.80,913,752,0
3530821,422.85,913,751,0
3530831,399.84,913,752,0
3530841,382.83,913,751,0
3530851,371.31,913,752,0
3530861,364.79,913,751,0
3530871,362.02,913,752,0
3530881,362.44,913,751,0
3530891,364.54,913,752,0
3530901,367.25,913,751,0
3530911,369.75,913,752,0
3530921,371.62,913,751,0
3530931,372.12,913,752,0
3530941,371.31,913,751,0
3530951,368.78,913,752,0
3530961,365.07,913,751,0
3530971,360.29,913,751,0
3530981,354.98,913,751,0
3530991,349.33,913,752,0
3531001,343.79,913,751,0
3531011,338.71,913,752,0
3531021,334.38,913,751,0
3531031,330.75,913,752,0
3531041,328.26,913,751,0
3531052,326.68,913,751,0
3531062,325.88,913,750,0
3531072,325.96,913,752,0
3531082,326.57,913,750,0
3531092,327.77,913,751,0
3531102,329.42,913,750,0
3531112,331.44,913,752,0
3531122,333.58,913,750,0
3531132,336.11,913,751,0
3531142,338.60,913,750,0
3531152,341.25,913,752,0
3531162,343.49,913,750,0
3531172,345.83,913,751,0
3531182,347.64,913,750,0
3531192,349.59,913,751,0
3531202,350.83,913,749,0
3531212,351.99,913,751,0
3531223,352.42,913,749,0
3531233,353.11,913,751,0
3531243,352.91,913,749,0
3531253,352.85,913,751,0
3531264,351.87,913,749,0
3531273,351.05,913,751,0
3531283,349.53,913,749,0
3531293,348.30,913,751,0
3531303,346.50,913,749,0
3531313,345.19,913,752,0
3531323,343.68,913,749,0
3531333,343.09,913,752,0
3531343,343.28,913,749,0
3531353,346.19,913,752,0
3531363,352.78,913,750,0
3531373,365.53,913,752,0
3531383,385.77,913,750,0
3531393,415.45,913,752,0
3531412,452.60,874,751,0
3531415,494.55,874,752,0
3531424,538.10,874,750,0
3531435,580.71,874,752,0
3531444,619.37,874,750,0
3531454,651.87,874,752,0
3531464,675.95,874,750,0
3531474,692.81,874,752,0
3531484,704.61,874,750,0
3531494,712.87,874,752,0
3531504,718.65,874,750,0
3531514,722.70,874,752,0
3531524,725.53,874,750,0
3531534,727.52,874,752,0
3531544,728.90,874,750,0
3531554,727.99,874,751,0
3531564,722.29,874,750,0
3531574,710.55,874,751,0
3531584,691.40,874,750,0
3531594,665.09,874,751,0
3531604,631.64,874,750,0
3531614,592.19,874,751,0
3531624,548.85,874,750,0
3531634,505.74,874,751,0
3531644,464.84,874,750,0
3531654,429.19,874,752,0
3531664,399.13,874,750,0
3531674,375.95,874,751,0
3531684,358.74,874,750,0
3531694,348.32,874,752,0
3531704,343.04,874,750,0
3531714,342.60,874,751,0
3531724,345.20,874,750,0
3531735,350.46,874,751,0
3531745,356.53,874,750,0
3531755,363.06,874,751,0
3531765,368.48,874,750,0
3531776,372.80,874,751,0
3531785,375.21,874,750,0
3531795,375.79,874,751,0
3531805,373.84,874,751,0
3531815,370.25,874,752,0
3531825,364.81,874,750,0
3531835,358.48,874,751,0
3531845,351.05,874,751,0
3531855,343.62,874,752,0
3531865,336.02,874,750,0
3531875,329.59,874,751,0
3531885,323.63,874,751,0
3531895,319.32,874,752,0
3531905,315.80,874,750,0
3531915,314.10,874,752,0
3531925,313.34,874,751,0
3531935,314.23,874,752,0
3531945,315.66,874,751,0
3531955,318.46,874,751,0
3531965,321.32,874,751,0
3531975,325.13,874,751,0
3531985,328.82,874,751,0
3531995,332.77,874,751,0
3532005,335.97,874,751,0
3532015,339.28,874,751,0
3532025,341.72,874,751,0
3532035,344.16,874,751,0
3532045,345.61,874,751,0
3532055,346.97,874,752,0
3532065,347.50,874,751,0
3532076,348.20,874,751,0
3532086,348.10,874,751,0
3532096,348.24,874,752,0
3532106,347.57,874,751,0
3532116,347.01,874,751,0
3532126,345.72,874,751,0
3532136,344.69,874,751,0
3532146,343.20,874,751,0
3532156,342.32,874,751,0
3532166,340.98,874,751,0
3532176,340.30,874,751,0
3532186,340.13,874,751,0
3532196,341.80,874,751,0
3532206,345.76,874,751,0
3532216,354.23,874,751,0
3532226,368.43,874,751,0
3532236,391.19,874,752,0
3532247,423.28,874,751,0
3532266,462.15,854,750,0
3532269,504.66,854,751,0
3532278,548.44,854,751,0
3532289,590.48,854,752,0
3532299,628.22,854,751,0
3532309,658.88,854,751,0
3532319,680.86,854,751,0
3532329,696.24,854,752,0
3532339,706.97,854,751,0
3532349,714.48,854,751,0
3532359,719.74,854,751,0
3532369,723.42,854,752,0
3532379,725.99,854,751,0
3532389,727.79,854,752,0
3532399,729.06,854,751,0
3532409,729.94,854,752,0
3532419,727.81,854,751,0
3532429,720.58,854,751,0
3532439,706.82,854,751,0
3532449,685.83,854,752,0
3532460,657.60,854,751,0
3532470,622.66,854,751,0
3532480,581.53,854,750,0
3532490,537.96,854,752,0
3532500,494.90,854,751,0
3532510,455.03,854,752,0
3532520,419.84,854,750,0
3532530,390.48,854,752,0
3532540,366.98,854,750,0
3532550,349.67,854,752,0
3532560,337.81,854,750,0
3532570,331.23,854,752,0
3532580,328.46,854,750,0
3532590,329.14,854,751,0
3532600,331.71,854,750,0
3532610,335.74,854,751,0
3532620,339.93,854,750,0
3532631,343.98,854,752,0
