Time,PPG,IBI,GSR,GSR_Event
1109615,570.00,783,751,0
1109625,595.46,783,756,0
1109635,613.23,783,751,0
1109645,624.31,783,756,0
1109655,629.83,783,751,0
1109665,628.64,783,756,0
1109676,619.45,783,751,0
1109686,604.74,783,757,0
1109696,590.72,783,751,0
1109706,577.17,783,756,0
1109716,562.55,783,751,0
1109726,548.59,783,757,0
1109736,533.45,783,751,0
1109746,518.62,783,757,0
1109756,502.53,783,751,0
1109766,486.34,783,757,0
1109776,469.01,783,752,0
1109786,452.25,783,757,0
1109796,434.73,783,752,0
1109806,418.70,783,757,0
1109816,403.15,783,752,0
1109826,390.12,783,757,0
1109836,378.55,783,751,0
1109847,370.42,783,757,0
1109857,364.33,783,752,0
1109867,361.62,783,757,0
1109877,360.62,783,752,0
1109888,362.28,783,757,0
1109897,364.68,783,752,0
1109907,368.89,783,757,0
1109917,372.65,783,751,0
1109927,377.08,783,757,0
1109937,380.19,783,752,0
1109947,383.17,783,756,0
1109957,384.58,783,752,0
1109967,385.69,783,756,0
1109977,384.93,783,752,0
1109987,384.09,783,757,0
1109997,381.92,783,751,0
1110007,380.10,783,757,0
1110017,377.33,783,752,0
1110027,375.34,783,757,0
1110037,372.67,783,751,0
1110047,371.18,783,757,0
1110057,369.20,783,752,0
1110067,368.15,783,757,0
1110077,366.65,783,751,0
1110087,366.41,783,757,0
1110097,365.43,783,752,0
1110107,365.60,783,757,0
1110117,365.21,783,751,0
1110127,365.87,783,757,0
1110137,366.04,783,752,0
1110147,367.27,783,757,0
1110157,367.83,783,751,0
1110167,369.51,783,757,0
1110177,370.56,783,752,0
1110188,372.36,783,757,0
1110198,373.41,783,752,0
1110208,375.00,783,757,0
1110218,375.56,783,752,0
1110228,376.42,783,756,0
1110238,376.17,783,752,0
1110248,376.29,783,757,0
1110258,375.56,783,753,0
1110268,375.30,783,756,0
1110278,374.27,783,752,0
1110288,373.89,783,757,0
1110298,372.89,783,753,0
1110308,372.75,783,756,0
1110318,372.06,783,752,0
1110328,372.43,783,757,0
1110338,372.81,783,752,0
1110348,375.31,783,757,0
1110359,379.29,783,752,0
1110369,386.92,783,756,0
1110388,397.91,804,756,0
1110391,416.75,804,755,0
1110401,443.10,804,755,0
1110411,477.05,804,756,0
1110421,514.92,804,756,0
1110431,554.93,804,755,0
1110441,594.42,804,756,0
1110451,632.05,804,756,0
1110461,663.50,804,756,0
1110471,687.65,804,755,0
1110481,704.60,804,756,0
1110491,715.77,804,756,0
1110501,721.41,804,756,0
1110511,721.33,804,755,0
1110521,715.62,804,757,0
1110531,704.29,804,756,0
1110541,687.45,804,757,0
1110551,664.90,804,756,0
1110561,637.50,804,757,0
1110572,606.58,804,755,0
1110582,574.22,804,758,0
1110592,541.02,804,755,0
1110602,508.45,804,758,0
1110612,476.77,804,755,0
1110622,447.57,804,758,0
1110632,420.95,804,755,0
1110642,398.13,804,758,0
1110652,378.54,804,755,0
1110662,363.47,804,758,0
1110672,352.23,804,756,0
1110682,345.52,804,758,0
1110692,342.19,804,755,0
1110702,342.52,804,758,0
1110712,345.28,804,756,0
1110722,350.59,804,758,0
1110732,356.63,804,755,0
1110743,363.56,804,758,0
1110753,369.82,804,754,0
1110763,375.96,804,758,0
1110773,380.56,804,754,0
1110784,384.33,804,759,0
1110793,386.16,804,754,0
1110803,387.23,804,758,0
1110813,386.43,804,754,0
1110823,385.27,804,758,0
1110833,382.58,804,754,0
1110843,380.18,804,758,0
1110853,376.87,804,754,0
1110863,374.21,804,758,0
1110873,371.10,804,755,0
1110883,368.84,804,758,0
1110893,366.49,804,755,0
1110903,365.19,804,759,0
1110913,363.59,804,755,0
1110923,363.15,804,759,0
1110933,362.46,804,754,0
1110943,362.97,804,759,0
1110953,363.19,804,754,0
1110963,364.21,804,758,0
1110973,364.74,804,754,0
1110983,366.06,804,759,0
1110993,366.64,804,754,0
1111003,367.91,804,758,0
1111013,368.41,804,754,0
1111023,369.70,804,759,0
1111033,370.30,804,754,0
1111043,371.71,804,759,0
1111053,372.48,804,754,0
1111063,373.88,804,758,0
1111073,374.30,804,754,0
1111084,375.07,804,759,0
1111094,374.83,804,754,0
1111104,374.97,804,758,0
1111114,374.16,804,754,0
1111124,373.77,804,758,0
1111134,372.68,804,754,0
1111144,372.65,804,759,0
1111154,372.37,804,753,0
1111164,373.72,804,758,0
1111174,375.94,804,754,0
1111184,381.15,804,758,0
1111194,388.73,804,753,0
1111204,401.15,804,759,0
1111223,417.48,835,758,0
