Time,PPG,IBI,GSR,GSR_Event
839168,367.27,913,761,0
839177,365.22,913,754,0
839187,365.19,913,761,0
839197,367.02,913,755,0
839207,370.36,913,761,0
839217,374.79,913,754,0
839227,379.96,913,761,0
839237,388.37,913,756,0
839247,397.13,913,761,0
839257,405.79,913,753,0
839267,413.52,913,761,0
839277,420.10,913,755,0
839287,424.87,913,761,0
839297,427.78,913,754,0
839307,428.70,913,761,0
839317,427.85,913,755,0
839327,425.62,913,761,0
839337,422.52,913,756,0
839347,418.85,913,761,0
839357,415.21,913,755,0
839367,411.59,913,761,0
839377,408.11,913,756,0
839387,404.78,913,761,0
839397,401.63,913,755,0
839407,398.53,913,761,0
839417,396.35,913,757,0
839427,394.83,913,761,0
839437,393.94,913,756,0
839447,393.44,913,761,0
839457,393.35,913,757,0
839468,393.33,913,761,0
839478,393.75,913,758,0
839488,393.39,913,761,0
839498,392.76,913,759,0
839508,391.76,913,761,0
839518,391.02,913,758,0
839528,390.54,913,761,0
839538,390.51,913,759,0
839548,390.44,913,761,0
839558,390.69,913,758,0
839568,390.87,913,761,0
839578,391.30,913,759,0
839588,391.42,913,761,0
839598,391.55,913,758,0
839608,391.56,913,761,0
839618,391.82,913,759,0
839628,392.00,913,761,0
839639,392.52,913,760,0
839649,392.92,913,761,0
839659,393.76,913,761,0
839669,396.44,913,762,0
839680,401.20,913,763,0
839689,406.49,913,762,0
839699,411.83,913,762,0
839709,416.34,913,761,0
839719,420.39,913,762,0
839729,423.19,913,762,0
839739,424.16,913,763,0
839758,422.91,844,763,0
839761,423.07,844,765,0
839770,425.79,844,760,0
839780,432.92,844,763,0
839790,444.95,844,759,0
839800,463.43,844,764,0
839810,487.00,844,760,0
839820,516.10,844,764,0
839830,547.36,844,759,0
839840,579.78,844,764,0
839851,610.27,844,757,0
839860,637.32,844,764,0
839870,657.92,844,758,0
839880,671.49,844,764,0
839890,676.06,844,757,0
839900,672.35,844,763,0
839910,659.86,844,758,0
839920,640.79,844,764,0
839930,615.65,844,757,0
839940,587.17,844,763,0
839950,556.09,844,758,0
839960,525.21,844,763,0
839970,494.93,844,757,0
839980,467.44,844,763,0
839990,442.45,844,758,0
840000,421.40,844,763,0
840010,403.58,844,757,0
840020,389.99,844,763,0
840030,379.75,844,758,0
840040,373.44,844,764,0
840050,369.79,844,756,0
840060,369.47,844,763,0
840070,371.21,844,758,0
840080,375.48,844,763,0
840090,380.99,844,757,0
840100,388.02,844,763,0
840110,395.30,844,758,0
840120,403.27,844,763,0
840130,410.35,844,756,0
840140,417.23,844,763,0
840151,422.69,844,755,0
840161,427.41,844,763,0
840171,430.29,844,755,0
840181,432.26,844,763,0
840192,432.61,844,753,0
840201,432.43,844,763,0
840211,430.80,844,755,0
840221,428.37,844,763,0
840231,424.62,844,754,0
840241,420.83,844,764,0
840251,416.60,844,755,0
840261,412.60,844,764,0
840271,408.22,844,754,0
840281,404.30,844,764,0
840291,400.48,844,755,0
840301,397.55,844,763,0
840311,394.60,844,754,0
840321,392.11,844,764,0
840331,389.50,844,755,0
840341,387.68,844,763,0
840351,385.93,844,754,0
840361,385.10,844,764,0
840371,384.34,844,755,0
840381,384.28,844,763,0
840391,384.28,844,754,0
840401,384.93,844,763,0
840411,385.46,844,755,0
840421,386.52,844,764,0
840431,387.18,844,754,0
840441,388.16,844,763,0
840451,388.92,844,755,0
840461,390.15,844,763,0
840471,391.09,844,754,0
840481,392.26,844,764,0
840492,393.21,844,754,0
840502,394.48,844,763,0
840512,395.41,844,754,0
840522,396.57,844,764,0
840532,397.81,844,754,0
840542,399.54,844,764,0
840552,401.01,844,754,0
840562,402.42,844,764,0
840572,403.41,844,754,0
840582,404.44,844,764,0
840592,404.87,844,754,0
840602,404.48,844,764,0
840612,403.31,844,754,0
840622,401.97,844,764,0
840632,400.44,844,754,0
840642,399.88,844,764,0
840652,401.03,844,754,0
840663,405.48,844,764,0
840682,414.55,924,763,0
840685,429.86,924,765,0
840694,451.93,924,758,0
840705,480.79,924,764,0
840715,515.10,924,759,0
840725,552.27,924,764,0
840735,589.64,924,760,0
840745,624.85,924,764,0
840755,655.37,924,759,0
840765,678.57,924,764,0
840775,693.19,924,760,0
840785,698.02,924,764,0
840795,694.15,924,758,0
840805,682.06,924,764,0
840815,662.37,924,760,0
840825,635.86,924,763,0
840835,605.13,924,759,0
840845,571.88,924,764,0
840855,538.31,924,760,0
840865,505.48,924,763,0
840876,475.08,924,761,0
840886,447.84,924,763,0
840896,424.70,924,762,0
840906,405.51,924,763,0
840916,390.48,924,763,0
840926,379.07,924,763,0
840936,371.63,924,762,0
840946,367.67,924,763,0
840956,367.43,924,763,0
840966,370.04,924,763,0
840976,375.43,924,762,0
840986,382.67,924,763,0
840996,391.86,924,763,0
841006,401.67,924,763,0
841016,411.76,924,762,0
841026,420.96,924,763,0
841036,429.24,924,763,0
841047,435.64,924,762,0
841057,440.59,924,763,0
841067,443.29,924,761,0
841077,444.40,924,763,0
841088,443.38,924,759,0
841097,441.08,924,763,0
841107,437.16,924,761,0
841117,432.48,924,763,0
841127,426.51,924,759,0
841137,420.48,924,763,0
841147,413.78,924,761,0
841157,407.50,924,763,0
841167,401.14,924,758,0
841177,395.87,924,763,0
841187,391.11,924,761,0
841197,387.65,924,763,0
841207,384.84,924,759,0
841217,384.12,924,764,0
841227,384.34,924,761,0
841237,385.91,924,764,0
841247,387.35,924,759,0
841257,389.26,924,764,0
841267,390.85,924,761,0
841277,392.70,924,764,0
841287,393.30,924,759,0
841297,393.68,924,764,0
841307,393.31,924,761,0
841317,393.13,924,764,0
841327,392.36,924,758,0
841337,391.95,924,764,0
841347,391.11,924,761,0
841357,390.82,924,764,0
841367,390.32,924,759,0
841377,390.39,924,764,0
841388,390.28,924,757,0
841398,390.88,924,764,0
841408,391.17,924,755,0
841418,391.98,924,764,0
841428,392.33,924,755,0
841438,393.13,924,764,0
841448,393.22,924,755,0
841458,393.71,924,764,0
841468,393.63,924,755,0
841478,394.00,924,764,0
841488,393.78,924,755,0
841498,393.76,924,764,0
841508,393.10,924,755,0
841518,392.94,924,764,0
841528,392.75,924,756,0
841538,394.24,924,764,0
841548,397.72,924,755,0
841559,405.48,924,764,0
841578,418.41,896,763,0
841581,438.56,896,763,0
841590,465.65,896,754,0
841601,499.52,896,764,0
841611,536.91,896,754,0
841621,575.51,896,764,0
841631,612.56,896,755,0
841641,646.12,896,764,0
841651,673.94,896,754,0
841661,694.44,896,764,0
841671,705.80,896,754,0
841681,708.73,896,763,0
841691,703.62,896,754,0
841701,690.84,896,764,0
841711,670.53,896,754,0
841721,643.33,896,763,0
841731,610.91,896,754,0
841741,575.93,896,763,0
841751,539.99,896,754,0
841761,504.98,896,763,0
841772,472.29,896,755,0
841782,443.27,896,763,0
841792,418.42,896,756,0
841802,398.41,896,763,0
841812,383.11,896,757,0
841822,372.67,896,764,0
841832,366.38,896,756,0
841842,363.87,896,763,0
841852,364.63,896,758,0
841862,368.30,896,763,0
841872,373.95,896,756,0
841882,382.11,896,765,0
