Time,PPG,IBI,GSR,GSR_Event
3365739,579.02,663,764,0
3365749,530.37,663,762,0
3365760,481.36,663,765,0
3365769,430.81,663,763,0
3365779,381.71,663,766,0
3365789,335.81,663,762,0
3365799,295.92,663,766,0
3365809,268.56,663,763,0
3365819,253.05,663,766,0
3365829,246.95,663,762,0
3365839,250.22,663,766,0
3365849,260.36,663,763,0
3365859,276.88,663,766,0
3365869,297.06,663,762,0
3365879,320.53,663,765,0
3365889,344.45,663,763,0
3365899,368.62,663,765,0
3365909,390.72,663,762,0
3365919,410.86,663,765,0
3365929,427.32,663,761,0
3365939,440.55,663,765,0
3365949,449.34,663,762,0
3365959,454.77,663,765,0
3365969,455.65,663,761,0
3365979,453.31,663,765,0
3365989,447.43,663,762,0
3365999,439.50,663,765,0
3366009,428.94,663,760,0
3366019,417.51,663,765,0
3366029,404.72,663,761,0
3366039,392.93,663,766,0
3366049,381.51,663,761,0
3366060,371.93,663,765,0
3366070,363.29,663,759,0
3366080,357.29,663,765,0
3366090,352.32,663,758,0
3366100,350.17,663,765,0
3366110,348.57,663,759,0
3366120,348.83,663,765,0
3366130,349.01,663,759,0
3366140,350.81,663,765,0
3366150,352.28,663,760,0
3366160,355.15,663,766,0
3366170,357.29,663,759,0
3366180,360.68,663,765,0
3366190,363.39,663,760,0
3366200,367.00,663,765,0
3366210,369.44,663,759,0
3366220,372.48,663,765,0
3366231,374.18,663,759,0
3366241,376.31,663,765,0
3366251,376.78,663,758,0
3366261,377.40,663,764,0
3366272,376.42,663,758,0
3366281,375.87,663,764,0
3366291,375.09,663,758,0
3366301,376.99,663,764,0
3366311,376.91,663,755,0
3366321,384.05,663,766,0
3366331,398.56,663,759,0
3366341,423.30,663,766,0
3366351,455.78,663,759,0
3366361,494.24,663,766,0
3366371,534.93,663,759,0
3366390,580.29,703,759,0
3366393,621.43,703,761,0
3366402,656.66,703,768,0
3366412,683.63,703,760,0
3366422,703.42,703,768,0
3366432,715.80,703,760,0
3366443,721.26,703,768,0
3366452,717.97,703,760,0
3366462,706.36,703,768,0
3366472,684.78,703,760,0
3366482,654.89,703,768,0
3366492,616.10,703,760,0
3366502,571.84,703,768,0
3366512,523.24,703,759,0
3366522,475.81,703,768,0
3366532,429.88,703,760,0
3366542,390.36,703,768,0
3366552,356.01,703,760,0
3366562,330.46,703,768,0
3366572,311.55,703,761,0
3366582,301.96,703,768,0
3366592,298.63,703,760,0
3366602,303.45,703,768,0
3366612,312.83,703,761,0
3366622,327.97,703,768,0
3366632,344.61,703,760,0
3366642,364.05,703,768,0
3366652,382.17,703,761,0
3366662,400.33,703,768,0
3366672,414.85,703,760,0
3366682,427.62,703,768,0
3366692,435.53,703,760,0
3366702,441.16,703,768,0
3366712,441.80,703,760,0
3366722,440.53,703,768,0
