Time,PPG,IBI,GSR,GSR_Event
7863457,319.84,1115,735,0
7863468,309.60,1115,745,0
7863478,297.59,1115,736,0
7863488,287.51,1115,745,0
7863498,280.25,1115,736,0
7863508,280.30,1115,743,0
7863518,282.31,1115,732,0
7863528,299.83,1115,741,0
7863538,331.00,1115,734,0
7863548,374.45,1115,743,0
7863558,423.99,1115,735,0
7863577,475.89,1064,735,0
7863580,524.65,1064,737,0
7863590,574.04,1064,743,0
7863600,618.22,1064,737,0
7863610,652.95,1064,744,0
7863620,677.31,1064,736,0
7863630,694.44,1064,744,0
7863640,706.53,1064,737,0
7863650,714.98,1064,744,0
7863660,720.86,1064,736,0
7863670,725.02,1064,744,0
7863681,727.93,1064,737,0
7863691,730.05,1064,744,0
7863701,731.53,1064,737,0
7863711,732.57,1064,743,0
7863721,733.30,1064,738,0
7863731,730.77,1064,744,0
7863741,721.24,1064,737,0
7863751,703.81,1064,743,0
7863761,677.21,1064,737,0
7863771,643.12,1064,744,0
7863781,602.20,1064,738,0
7863791,555.47,1064,743,0
7863801,505.96,1064,737,0
7863811,459.98,1064,744,0
7863821,419.53,1064,737,0
7863831,388.00,1064,743,0
7863841,364.86,1064,738,0
7863852,350.41,1064,742,0
7863862,343.73,1064,737,0
7863872,346.00,1064,742,0
7863882,354.48,1064,738,0
7863892,368.27,1064,741,0
7863902,384.26,1064,737,0
7863912,401.37,1064,742,0
7863922,417.29,1064,738,0
7863932,431.64,1064,741,0
7863942,442.16,1064,737,0
7863952,449.19,1064,742,0
7863962,451.44,1064,738,0
7863972,449.85,1064,741,0
7863982,443.64,1064,738,0
7863992,434.66,1064,743,0
7864002,422.55,1064,738,0
7864012,408.93,1064,742,0
7864023,393.31,1064,738,0
7864033,377.53,1064,741,0
7864043,361.64,1064,739,0
7864053,347.09,1064,740,0
7864064,333.48,1064,739,0
7864073,322.24,1064,741,0
7864083,312.99,1064,739,0
7864093,306.52,1064,741,0
7864103,302.12,1064,739,0
7864113,300.16,1064,741,0
7864123,300.15,1064,739,0
7864133,301.99,1064,741,0
7864143,304.82,1064,739,0
7864153,308.78,1064,741,0
7864163,313.04,1064,738,0
7864173,318.13,1064,740,0
7864183,323.41,1064,739,0
7864193,328.94,1064,741,0
7864203,334.32,1064,738,0
7864213,339.79,1064,740,0
7864223,344.74,1064,739,0
7864233,349.58,1064,740,0
7864243,353.60,1064,739,0
7864253,357.19,1064,741,0
7864263,359.58,1064,739,0
7864273,361.20,1064,740,0
7864283,361.83,1064,738,0
7864293,361.88,1064,740,0
7864303,361.06,1064,739,0
7864313,359.63,1064,740,0
7864323,357.34,1064,739,0
7864333,355.01,1064,741,0
7864343,352.35,1064,739,0
7864353,349.50,1064,740,0
7864364,346.05,1064,740,0
7864374,342.35,1064,739,0
7864384,339.03,1064,741,0
7864394,336.79,1064,738,0
7864404,336.47,1064,742,0
7864414,339.37,1064,739,0
7864424,346.97,1064,740,0
7864434,361.68,1064,738,0
7864444,385.48,1064,742,0
7864454,418.98,1064,739,0
7864464,459.27,1064,740,0
7864474,503.03,1064,738,0
7864494,547.68,916,737,0
7864497,590.59,916,738,0
7864506,629.03,916,745,0
7864516,660.30,916,737,0
7864526,682.80,916,745,0
7864536,698.55,916,738,0
7864546,709.61,916,744,0
7864556,717.36,916,737,0
7864566,722.82,916,745,0
7864577,726.60,916,737,0
7864587,729.29,916,745,0
7864597,731.13,916,737,0
7864607,732.47,916,746,0
7864617,731.51,916,738,0
7864627,726.34,916,745,0
7864637,713.77,916,737,0
7864647,693.44,916,746,0
7864657,664.38,916,738,0
7864667,628.01,916,745,0
7864677,584.38,916,737,0
7864687,536.91,916,746,0
7864697,488.33,916,737,0
7864707,444.52,916,746,0
7864717,406.56,916,737,0
7864727,377.04,916,746,0
7864737,355.43,916,737,0
7864748,343.04,916,746,0
7864758,338.44,916,737,0
7864768,342.25,916,746,0
7864778,351.05,916,737,0
7864788,364.92,916,745,0
7864798,381.06,916,736,0
7864808,399.04,916,746,0
7864818,416.56,916,738,0
7864828,433.28,916,747,0
7864838,449.14,916,739,0
7864848,461.18,916,746,0
7864858,466.36,916,737,0
7864868,466.72,916,746,0
7864878,461.45,916,737,0
7864888,452.36,916,746,0
7864898,438.71,916,737,0
7864908,420.15,916,746,0
7864919,399.88,916,737,0
7864929,381.40,916,746,0
7864939,363.45,916,737,0
7864949,347.76,916,745,0
7864960,333.22,916,737,0
7864969,321.92,916,746,0
7864979,312.52,916,738,0
7864989,306.32,916,745,0
7864999,301.72,916,737,0
7865009,300.26,916,747,0
7865019,299.97,916,738,0
7865029,303.75,916,748,0
7865039,309.70,916,739,0
7865049,316.77,916,747,0
7865059,323.01,916,738,0
7865069,329.74,916,746,0
7865079,335.30,916,738,0
7865089,341.17,916,747,0
7865099,343.86,916,738,0
7865109,345.02,916,746,0
7865119,345.74,916,738,0
7865129,346.63,916,745,0
7865139,346.36,916,738,0
7865149,346.38,916,746,0
7865159,345.36,916,738,0
7865169,345.04,916,746,0
7865179,343.91,916,738,0
7865189,343.08,916,746,0
7865199,342.42,916,738,0
7865209,343.19,916,745,0
7865219,343.43,916,738,0
7865229,344.67,916,746,0
7865239,345.03,916,738,0
7865249,345.28,916,746,0
7865260,344.81,916,739,0
7865270,344.61,916,745,0
7865280,343.40,916,738,0
7865290,343.36,916,745,0
7865300,343.43,916,739,0
7865310,346.38,916,745,0
7865320,353.47,916,739,0
7865330,368.03,916,745,0
7865340,390.82,916,739,0
7865350,424.13,916,746,0
7865360,463.78,916,740,0
7865379,507.77,886,737,0
7865382,552.67,886,741,0
7865391,596.14,886,744,0
7865401,634.03,886,739,0
7865411,664.88,886,743,0
7865421,686.47,886,740,0
7865431,701.59,886,744,0
7865441,712.12,886,740,0
7865451,719.54,886,744,0
7865461,724.74,886,740,0
7865472,728.42,886,743,0
7865481,730.99,886,739,0
7865491,732.79,886,744,0
7865501,734.06,886,740,0
7865511,734.94,886,743,0
7865521,735.56,886,740,0
7865531,735.99,886,744,0
7865541,736.29,886,740,0
7865551,733.93,886,743,0
7865561,725.60,886,740,0
7865571,710.29,886,744,0
7865581,685.99,886,739,0
7865591,653.21,886,742,0
7865601,613.46,886,740,0
7865611,568.92,886,744,0
7865621,522.27,886,740,0
7865631,478.35,886,743,0
7865641,438.22,886,739,0
7865651,405.45,886,743,0
7865661,380.16,886,739,0
7865671,362.45,886,742,0
7865681,351.17,886,739,0
7865691,347.95,886,744,0
7865701,350.45,886,739,0
7865711,358.72,886,743,0
7865721,370.33,886,740,0
7865731,384.16,886,743,0
7865741,397.35,886,739,0
7865751,409.12,886,743,0
7865761,416.28,886,739,0
7865772,419.80,886,742,0
7865782,418.44,886,740,0
7865792,413.51,886,742,0
7865802,405.09,886,740,0
7865812,394.69,886,741,0
7865822,381.84,886,740,0
7865832,368.52,886,742,0
7865842,354.43,886,740,0
7865852,341.32,886,741,0
7865862,328.75,886,740,0
7865872,317.85,886,742,0
7865882,308.68,886,740,0
7865892,301.96,886,741,0
7865902,297.09,886,740,0
7865912,294.79,886,742,0
7865922,294.21,886,740,0
7865932,296.46,886,742,0
7865943,300.95,886,741,0
7865953,307.39,886,741,0
7865963,314.39,886,742,0
7865973,321.73,886,739,0
7865984,327.73,886,742,0
7865993,332.35,886,740,0
7866003,335.03,886,741,0
7866013,336.22,886,739,0
7866023,337.27,886,744,0
7866033,338.73,886,741,0
7866043,339.71,886,741,0
7866053,340.70,886,739,0
7866063,341.77,886,742,0
7866073,343.09,886,741,0
7866083,344.35,886,742,0
7866093,343.94,886,739,0
7866103,342.72,886,743,0
