Time,PPG,IBI,GSR,GSR_Event
1463553,368.48,894,752,0
1463563,366.45,894,753,0
1463573,363.62,894,754,0
1463583,359.96,894,753,0
1463593,357.27,894,754,0
1463603,354.83,894,754,0
1463613,353.81,894,754,0
1463623,360.47,894,753,0
1463633,370.91,894,754,0
1463643,381.65,894,754,0
1463653,392.13,894,754,0
1463663,400.15,894,753,0
1463673,406.27,894,754,0
1463683,409.36,894,754,0
1463693,410.54,894,754,0
1463703,409.39,894,753,0
1463713,408.29,894,754,0
1463724,408.20,894,753,0
1463734,413.33,894,754,0
1463744,424.97,894,753,0
1463754,447.01,894,754,0
1463764,477.73,894,753,0
1463774,514.97,894,755,0
1463784,555.44,894,754,0
1463803,597.05,833,754,0
1463806,635.91,833,757,0
1463815,669.83,833,757,0
1463825,695.26,833,756,0
1463835,713.18,833,756,0
1463845,725.81,833,756,0
1463855,734.78,833,757,0
1463865,741.15,833,756,0
1463875,745.60,833,756,0
1463885,748.72,833,756,0
1463895,750.91,833,757,0
1463905,750.38,833,756,0
1463915,743.79,833,756,0
1463925,727.78,833,756,0
1463936,701.75,833,756,0
1463945,665.44,833,756,0
1463955,620.09,833,756,0
1463965,566.24,833,756,0
1463975,508.35,833,757,0
1463985,451.16,833,756,0
1463995,401.01,833,756,0
1464005,360.08,833,756,0
1464015,331.17,833,756,0
1464025,313.80,833,756,0
1464035,309.28,833,756,0
1464045,315.28,833,756,0
1464055,331.44,833,756,0
1464065,354.06,833,756,0
1464075,381.90,833,756,0
1464085,411.07,833,756,0
1464095,440.19,833,756,0
1464105,465.64,833,756,0
1464115,486.75,833,756,0
1464125,500.84,833,755,0
1464135,508.51,833,756,0
1464145,508.32,833,756,0
1464155,501.96,833,756,0
1464165,489.12,833,756,0
1464175,472.07,833,756,0
1464185,450.88,833,756,0
1464195,428.46,833,756,0
1464205,404.75,833,756,0
1464215,381.94,833,757,0
1464225,359.76,833,756,0
1464236,340.33,833,756,0
1464246,323.30,833,756,0
1464256,310.14,833,756,0
1464266,299.77,833,756,0
1464276,293.37,833,756,0
1464286,289.91,833,756,0
1464296,290.11,833,756,0
1464306,292.48,833,756,0
1464316,297.43,833,756,0
1464326,303.65,833,756,0
1464336,311.64,833,756,0
1464346,319.93,833,756,0
1464356,328.95,833,756,0
1464366,337.41,833,756,0
1464376,346.54,833,757,0
1464386,354.48,833,756,0
1464396,362.05,833,756,0
1464407,368.25,833,756,0
1464417,374.09,833,756,0
1464427,378.69,833,756,0
1464437,382.73,833,756,0
1464448,384.99,833,756,0
1464457,387.05,833,756,0
1464467,387.98,833,756,0
1464477,388.37,833,756,0
1464487,387.66,833,756,0
1464497,386.35,833,756,0
1464507,383.97,833,756,0
1464517,380.89,833,756,0
1464527,376.94,833,756,0
1464537,373.02,833,756,0
1464547,369.45,833,756,0
1464557,367.99,833,756,0
1464567,370.48,833,756,0
1464577,379.85,833,756,0
1464587,398.97,833,756,0
1464597,429.75,833,756,0
1464607,468.48,833,756,0
1464617,512.48,833,756,0
1464627,558.58,833,756,0
1464637,603.83,833,756,0
1464647,644.85,833,756,0
1464667,678.20,863,755,0
1464670,701.54,863,757,0
1464679,717.88,863,756,0
1464689,729.31,863,756,0
1464699,737.32,863,756,0
1464709,742.92,863,756,0
1464719,746.85,863,756,0
1464729,749.59,863,756,0
1464739,751.51,863,756,0
1464749,752.86,863,756,0
1464759,750.72,863,756,0
1464769,741.76,863,756,0
1464779,723.49,863,756,0
1464790,695.48,863,756,0
1464799,657.97,863,756,0
1464809,611.99,863,756,0
1464819,558.68,863,756,0
1464829,503.23,863,757,0
1464839,450.75,863,756,0
1464849,405.82,863,756,0
1464859,370.61,863,756,0
1464869,346.60,863,756,0
1464879,333.69,863,756,0
1464889,331.68,863,756,0
1464899,338.63,863,756,0
1464909,353.10,863,756,0
1464919,372.53,863,756,0
1464929,394.48,863,756,0
1464939,416.28,863,756,0
1464949,436.25,863,756,0
1464960,452.16,863,755,0
1464969,463.30,863,755,0
1464979,468.57,863,756,0
1464989,468.10,863,756,0
1464999,461.90,863,756,0
1465009,451.08,863,756,0
1465019,435.97,863,756,0
1465029,418.02,863,756,0
1465039,397.83,863,756,0
1465049,376.92,863,756,0
1465059,356.16,863,756,0
1465069,337.08,863,756,0
1465079,319.83,863,756,0
1465089,305.57,863,756,0
1465099,294.47,863,756,0
1465109,287.21,863,757,0
1465119,283.12,863,756,0
1465129,282.27,863,756,0
1465139,283.82,863,756,0
1465149,287.99,863,756,0
1465159,293.78,863,756,0
1465169,301.26,863,756,0
1465179,309.32,863,756,0
1465189,318.05,863,756,0
1465199,326.57,863,756,0
1465209,335.05,863,756,0
1465219,342.71,863,756,0
1465229,349.87,863,756,0
1465239,355.78,863,756,0
1465249,360.99,863,756,0
1465260,365.02,863,755,0
1465270,368.49,863,756,0
1465280,370.74,863,756,0
1465290,372.40,863,756,0
1465300,372.88,863,756,0
1465310,372.87,863,756,0
1465320,371.58,863,756,0
1465330,369.82,863,756,0
1465340,366.70,863,755,0
1465350,363.28,863,756,0
1465360,358.70,863,756,0
1465370,354.16,863,756,0
1465380,348.97,863,756,0
1465390,345.03,863,757,0
1465400,342.71,863,756,0
1465410,345.07,863,756,0
1465420,353.45,863,756,0
1465431,371.70,863,757,0
1465441,401.06,863,756,0
1465451,440.30,863,757,0
1465461,485.42,863,756,0
1465472,533.81,863,757,0
1465481,581.70,863,756,0
1465500,626.27,834,755,0
1465503,663.56,834,756,0
1465512,691.25,834,757,0
1465522,710.63,834,756,0
1465532,724.20,834,757,0
1465542,733.70,834,755,0
1465552,740.35,834,757,0
1465562,745.00,834,756,0
1465572,745.43,834,757,0
1465582,737.63,834,755,0
1465592,720.30,834,756,0
1465602,692.39,834,756,0
1465612,654.69,834,757,0
1465622,607.04,834,755,0
1465632,551.27,834,757,0
1465643,490.93,834,756,0
1465652,432.84,834,757,0
1465662,379.62,834,755,0
1465672,335.12,834,757,0
1465682,299.90,834,756,0
1465692,276.36,834,757,0
1465702,263.39,834,755,0
1465712,261.99,834,756,0
1465722,269.75,834,756,0
1465732,286.37,834,757,0
1465742,308.50,834,755,0
