Time,PPG,IBI,GSR,GSR_Event
4029107,296.69,663,746,0
4029117,305.66,663,749,0
4029127,314.55,663,747,0
4029137,324.80,663,749,0
4029147,334.33,663,747,0
4029157,344.34,663,749,0
4029167,352.77,663,747,0
4029177,365.44,663,749,0
4029187,376.36,663,747,0
4029197,385.26,663,749,0
4029207,390.15,663,747,0
4029217,392.33,663,749,0
4029228,390.65,663,747,0
4029238,386.81,663,750,0
4029248,380.22,663,747,0
4029258,372.66,663,749,0
4029268,363.67,663,746,0
4029278,354.94,663,750,0
4029288,345.75,663,746,0
4029298,337.55,663,749,0
4029308,329.71,663,746,0
4029318,323.33,663,750,0
4029328,317.49,663,747,0
4029338,313.23,663,749,0
4029348,310.07,663,747,0
4029358,309.58,663,750,0
4029368,311.93,663,747,0
4029378,320.05,663,750,0
4029388,335.17,663,746,0
4029399,360.83,663,750,0
4029409,397.74,663,747,0
4029419,442.52,663,750,0
4029429,491.56,663,747,0
4029440,542.35,663,750,0
4029449,591.02,663,747,0
4029468,634.85,673,747,0
4029471,670.21,673,750,0
4029480,695.22,673,751,0
4029490,712.81,673,749,0
4029500,725.21,673,751,0
4029510,733.98,673,749,0
4029520,740.20,673,751,0
4029530,744.64,673,748,0
4029540,747.75,673,751,0
4029550,749.92,673,749,0
4029560,751.23,673,751,0
4029570,747.99,673,749,0
4029580,737.88,673,751,0
4029590,719.19,673,748,0
4029600,691.40,673,751,0
4029611,654.77,673,749,0
4029620,609.84,673,751,0
4029630,557.60,673,749,0
4029640,503.12,673,751,0
4029650,450.03,673,749,0
4029660,401.55,673,751,0
4029670,359.34,673,748,0
4029680,324.48,673,751,0
4029690,297.51,673,749,0
4029700,278.58,673,751,0
4029710,267.01,673,748,0
4029720,262.51,673,752,0
4029730,263.81,673,749,0
4029740,269.91,673,751,0
4029750,279.49,673,748,0
4029760,291.47,673,751,0
4029770,304.70,673,749,0
4029780,318.29,673,751,0
4029790,331.02,673,748,0
4029800,342.41,673,751,0
4029810,352.02,673,749,0
4029820,359.47,673,751,0
4029830,364.51,673,748,0
4029840,367.19,673,751,0
4029850,367.65,673,749,0
4029860,366.08,673,751,0
4029870,362.76,673,748,0
4029880,358.12,673,751,0
4029890,352.64,673,749,0
4029900,346.53,673,751,0
4029911,340.24,673,749,0
4029921,333.87,673,751,0
4029931,328.00,673,749,0
4029941,322.43,673,751,0
4029952,317.63,673,749,0
4029961,313.20,673,751,0
4029971,309.71,673,749,0
4029981,306.41,673,751,0
4029991,304.14,673,749,0
4030001,302.22,673,751,0
4030011,301.42,673,749,0
4030021,301.64,673,751,0
4030031,304.88,673,749,0
4030041,311.90,673,751,0
4030051,325.77,673,749,0
4030061,348.21,673,751,0
4030071,381.96,673,749,0
4030081,424.70,673,751,0
4030091,473.22,673,749,0
4030101,523.85,673,751,0
4030120,573.96,652,750,0
4030124,620.00,652,751,0
4030132,658.91,652,750,0
4030142,687.70,652,751,0
