Time,PPG,IBI,GSR,GSR_Event
2272250,432.27,733,773,0
2272260,429.15,733,774,0
2272270,426.79,733,773,0
2272280,425.95,733,773,0
2272290,427.81,733,773,0
2272300,431.68,733,774,0
2272310,437.69,733,773,0
2272320,447.17,733,774,0
2272330,459.59,733,774,0
2272340,469.61,733,774,0
2272350,476.41,733,774,0
2272360,478.65,733,774,0
2272370,477.30,733,774,0
2272380,472.19,733,774,0
2272390,464.16,733,774,0
2272400,453.31,733,774,0
2272410,441.69,733,774,0
2272420,429.78,733,774,0
2272430,418.92,733,774,0
2272440,409.00,733,775,0
2272450,401.07,733,774,0
2272460,394.92,733,774,0
2272471,391.05,733,774,0
2272481,388.89,733,774,0
2272491,388.79,733,775,0
2272501,389.84,733,774,0
2272512,392.33,733,775,0
2272521,395.28,733,774,0
2272531,398.92,733,774,0
2272541,402.46,733,774,0
2272551,406.35,733,775,0
2272561,409.67,733,774,0
2272571,413.07,733,775,0
2272581,415.79,733,774,0
2272591,418.43,733,775,0
2272601,420.48,733,774,0
2272611,422.35,733,775,0
2272621,423.28,733,774,0
2272631,423.92,733,775,0
2272641,423.82,733,774,0
2272651,423.57,733,775,0
2272661,422.54,733,774,0
2272671,421.35,733,775,0
2272681,419.66,733,773,0
2272691,418.22,733,775,0
2272701,416.48,733,774,0
2272711,415.05,733,775,0
2272721,413.32,733,773,0
2272731,412.20,733,775,0
2272741,411.02,733,774,0
2272751,410.46,733,775,0
2272761,409.94,733,773,0
2272771,410.04,733,775,0
2272781,410.20,733,774,0
2272791,411.34,733,775,0
2272801,412.52,733,773,0
2272812,414.34,733,775,0
2272822,415.91,733,773,0
2272832,417.86,733,775,0
2272842,419.75,733,772,0
2272852,421.62,733,775,0
2272862,422.59,733,773,0
2272872,423.36,733,775,0
2272882,423.47,733,772,0
2272892,423.75,733,775,0
2272902,423.36,733,774,0
2272912,422.91,733,775,0
2272922,422.03,733,773,0
2272932,421.51,733,775,0
2272942,420.63,733,773,0
2272952,419.97,733,775,0
2272962,418.99,733,773,0
2272972,418.35,733,775,0
2272983,417.43,733,772,0
2272993,417.09,733,775,0
2273003,416.63,733,772,0
2273013,416.96,733,775,0
2273024,417.31,733,771,0
2273033,418.16,733,775,0
2273043,418.84,733,772,0
2273053,419.92,733,775,0
2273063,420.67,733,771,0
2273073,421.67,733,775,0
2273083,422.24,733,772,0
2273093,422.98,733,776,0
2273103,423.16,733,772,0
2273113,423.33,733,776,0
2273123,422.63,733,772,0
2273133,421.75,733,776,0
2273143,420.07,733,772,0
2273153,418.25,733,776,0
2273163,415.86,733,773,0
2273173,413.72,733,776,0
2273183,411.57,733,772,0
2273193,410.37,733,776,0
2273203,409.58,733,773,0
2273213,409.79,733,776,0
2273223,410.19,733,772,0
2273233,411.42,733,776,0
2273243,412.97,733,773,0
2273253,415.12,733,776,0
2273263,417.01,733,772,0
2273273,419.02,733,776,0
2273283,420.69,733,773,0
2273293,422.54,733,776,0
2273303,423.83,733,772,0
2273313,425.00,733,776,0
2273324,425.60,733,772,0
2273334,426.28,733,776,0
2273344,426.54,733,772,0
2273354,426.85,733,776,0
2273364,426.85,733,772,0
2273374,426.98,733,776,0
2273384,426.82,733,772,0
2273394,426.83,733,776,0
2273404,426.49,733,772,0
2273414,426.39,733,776,0
2273424,425.93,733,772,0
2273434,425.56,733,776,0
2273444,425.05,733,772,0
2273454,424.78,733,776,0
2273464,424.33,733,772,0
2273474,424.27,733,776,0
2273484,424.02,733,772,0
2273495,423.93,733,776,0
2273505,423.52,733,771,0
2273515,423.15,733,776,0
2273525,422.51,733,772,0
2273536,421.88,733,776,0
2273545,420.93,733,772,0
2273555,420.01,733,776,0
2273565,419.02,733,772,0
2273575,418.33,733,776,0
2273585,417.63,733,772,0
2273595,417.23,733,776,0
2273605,416.94,733,772,0
2273615,416.96,733,776,0
2273625,417.06,733,772,0
2273635,417.47,733,776,0
2273645,417.97,733,772,0
2273655,418.62,733,776,0
2273665,419.21,733,772,0
2273675,419.87,733,776,0
2273685,420.51,733,772,0
2273695,421.39,733,776,0
2273705,422.30,733,772,0
2273715,423.41,733,776,0
2273725,424.62,733,772,0
2273735,426.06,733,776,0
2273745,427.50,733,772,0
2273755,429.06,733,776,0
2273765,430.46,733,772,0
2273775,431.82,733,776,0
2273785,432.95,733,772,0
2273795,434.12,733,776,0
2273805,434.90,733,772,0
2273815,435.44,733,776,0
2273825,435.61,733,772,0
2273836,435.73,733,776,0
2273846,435.55,733,772,0
2273865,435.13,0,772,0
2273868,435.43,0,776,0
2273878,435.47,0,778,0
2273887,434.30,0,774,0
2273897,431.64,0,777,0
2273907,427.33,0,774,0
2273917,421.66,0,777,0
2273927,415.12,0,774,0
2273937,406.86,0,777,0
2273947,398.71,0,774,0
2273957,391.90,0,777,0
2273967,387.00,0,774,0
2273977,384.30,0,777,0
2273987,383.87,0,774,0
2273997,385.36,0,777,0
2274007,388.51,0,774,0
2274017,392.94,0,778,0
2274027,398.32,0,774,0
2274037,404.31,0,777,0
2274048,410.56,0,775,0
2274057,416.69,0,777,0
2274067,422.53,0,774,0
2274077,427.77,0,777,0
2274087,432.12,0,774,0
2274097,435.64,0,777,0
2274107,438.49,0,774,0
2274117,440.75,0,777,0
2274127,442.54,0,775,0
2274137,443.79,0,777,0
2274147,444.71,0,774,0
2274157,445.31,0,777,0
2274167,445.52,0,774,0
2274177,445.11,0,777,0
2274187,444.05,0,774,0
2274197,442.45,0,777,0
2274207,440.43,0,775,0
2274217,438.07,0,777,0
2274227,435.52,0,774,0
2274237,433.05,0,777,0
2274247,430.76,0,775,0
2274257,428.73,0,777,0
2274267,427.01,0,774,0
