Time,PPG,IBI,GSR,GSR_Event
960128,358.53,974,751,0
960137,349.93,974,756,0
960147,338.81,974,753,0
960157,328.88,974,756,0
960167,318.42,974,752,0
960177,310.32,974,756,0
960187,302.04,974,753,0
960197,301.60,974,756,0
960207,303.65,974,752,0
960217,309.32,974,756,0
960227,315.31,974,752,0
960237,323.62,974,756,0
960247,332.30,974,752,0
960257,344.73,974,756,0
960267,359.98,974,752,0
960277,382.74,974,756,0
960287,413.03,974,752,0
960307,452.02,974,752,0
960310,495.43,974,740,0
960319,541.59,974,763,0
960329,586.84,974,750,0
960339,629.70,974,765,0
960349,666.05,974,752,0
960359,694.28,974,763,0
960369,714.08,974,751,0
960379,727.90,974,765,0
960389,737.53,974,752,0
960399,744.27,974,763,0
960409,748.99,974,750,0
960419,752.34,974,765,0
960429,754.68,974,752,0
960439,756.32,974,763,0
960449,757.46,974,750,0
960459,758.27,974,764,0
960470,758.83,974,739,0
960479,757.94,974,763,0
960489,751.79,974,750,0
960499,739.04,974,764,0
960509,718.02,974,738,0
960519,689.39,974,763,0
960529,652.54,974,748,0
960539,608.84,974,765,0
960549,559.81,974,738,0
960559,511.23,974,764,0
960569,464.75,974,746,0
960579,424.06,974,765,0
960589,389.16,974,738,0
960599,362.54,974,764,0
960609,343.01,974,745,0
960619,331.86,974,765,0
960629,327.02,974,737,0
960640,329.20,974,763,0
960649,335.87,974,747,0
960659,347.14,974,764,0
960669,360.21,974,738,0
960679,375.15,974,762,0
960689,389.33,974,748,0
960699,402.99,974,764,0
960709,414.01,974,737,0
960719,422.83,974,762,0
960729,427.85,974,744,0
960739,430.17,974,765,0
960749,428.58,974,737,0
960759,424.50,974,763,0
960769,417.24,974,746,0
960779,408.72,974,764,0
960789,398.48,974,737,0
960799,388.01,974,762,0
960809,376.78,974,737,0
960819,366.90,974,765,0
960829,357.46,974,737,0
960839,349.86,974,762,0
960849,343.05,974,737,0
960859,338.23,974,765,0
960869,334.48,974,737,0
960879,332.58,974,762,0
960889,331.16,974,737,0
960899,331.37,974,764,0
960909,331.99,974,737,0
960919,333.75,974,762,0
960929,335.67,974,737,0
960940,338.38,974,762,0
960950,341.10,974,738,0
960960,344.07,974,761,0
960970,346.83,974,741,0
960980,349.58,974,760,0
960990,351.85,974,738,0
961000,353.82,974,761,0
961010,355.29,974,741,0
961020,356.45,974,761,0
961030,357.26,974,738,0
961040,357.69,974,761,0
961050,358.17,974,741,0
961060,358.29,974,760,0
961070,358.25,974,738,0
961080,358.09,974,761,0
961090,358.02,974,741,0
961100,357.84,974,760,0
961111,357.89,974,747,0
961121,357.32,974,758,0
961131,357.48,974,750,0
961141,357.38,974,758,0
961152,357.95,974,751,0
961161,358.01,974,759,0
961171,358.56,974,750,0
961181,358.27,974,758,0
961191,358.96,974,752,0
961201,358.41,974,759,0
961211,358.33,974,750,0
961221,356.95,974,758,0
961231,356.71,974,752,0
961241,356.49,974,759,0
961251,359.47,974,750,0
961261,365.55,974,758,0
961271,379.27,974,751,0
961281,400.96,974,759,0
961300,434.06,994,757,0
961303,474.07,994,756,0
961312,519.09,994,754,0
961323,565.18,994,756,0
961332,610.21,994,753,0
961342,650.09,994,757,0
961352,683.28,994,754,0
961362,706.55,994,756,0
961372,722.84,994,753,0
961382,734.16,994,757,0
961392,742.17,994,754,0
961402,747.73,994,756,0
961412,751.67,994,753,0
961422,754.34,994,757,0
961432,756.30,994,754,0
961442,757.62,994,757,0
961452,756.58,994,753,0
961462,749.16,994,757,0
961472,735.40,994,754,0
961482,712.99,994,756,0
961492,683.55,994,756,0
961502,645.97,994,757,0
961512,602.35,994,754,0
961522,553.99,994,756,0
961532,507.45,994,755,0
961542,462.53,994,757,0
961552,424.14,994,754,0
961562,390.16,994,756,0
961572,364.10,994,756,0
961582,343.37,994,757,0
961592,331.04,994,754,0
961602,323.92,994,756,0
961612,324.46,994,756,0
961623,328.65,994,755,0
961633,338.82,994,756,0
961643,350.75,994,754,0
961653,366.30,994,757,0
961664,381.08,994,754,0
961673,397.04,994,756,0
961683,409.89,994,754,0
961693,422.05,994,757,0
961703,429.79,994,754,0
961713,436.07,994,757,0
961723,437.68,994,754,0
961733,437.77,994,757,0
961743,433.30,994,753,0
961753,427.98,994,756,0
961763,419.03,994,754,0
961773,410.06,994,757,0
961783,398.43,994,753,0
961793,387.97,994,756,0
961803,376.07,994,754,0
961813,366.23,994,757,0
961823,355.71,994,753,0
961833,348.04,994,757,0
961843,340.31,994,754,0
961853,335.72,994,757,0
961863,331.09,994,753,0
961873,329.48,994,757,0
961883,327.88,994,754,0
961893,329.03,994,757,0
961903,329.75,994,753,0
961913,332.65,994,757,0
961923,334.77,994,754,0
961933,338.78,994,757,0
961943,341.42,994,754,0
961953,345.28,994,757,0
961964,347.42,994,753,0
961974,350.77,994,758,0
961984,352.59,994,752,0
961994,355.29,994,758,0
962004,356.23,994,752,0
962014,358.39,994,758,0
962024,358.92,994,753,0
962034,360.61,994,757,0
962044,360.56,994,752,0
962054,361.55,994,758,0
962064,360.95,994,752,0
962074,361.27,994,758,0
962084,359.99,994,752,0
962094,359.86,994,757,0
962104,358.32,994,752,0
962114,358.14,994,758,0
962124,356.85,994,752,0
962135,356.98,994,758,0
962145,356.17,994,752,0
962155,356.51,994,758,0
962165,355.93,994,752,0
962176,356.38,994,763,0
962185,355.71,994,752,0
962195,355.79,994,758,0
962205,354.61,994,752,0
962215,354.04,994,763,0
962225,352.40,994,752,0
962235,351.68,994,758,0
962245,350.75,994,752,0
962255,352.28,994,763,0
962265,355.97,994,752,0
962275,365.92,994,758,0
962285,382.96,994,752,0
962305,411.09,1004,751,0
962308,448.05,1004,740,0
962317,491.45,1004,761,0
962327,537.43,1004,738,0
962337,584.14,1004,761,0
962348,627.51,1004,740,0
962358,665.25,1004,760,0
962368,693.71,1004,744,0
962378,713.64,1004,759,0
962388,727.59,1004,750,0
962398,737.36,1004,760,0
962408,744.24,1004,744,0
962418,749.05,1004,759,0
962428,752.46,1004,750,0
962438,754.81,1004,760,0
962448,756.50,1004,745,0
962458,754.20,1004,759,0
962468,746.04,1004,749,0
962478,730.34,1004,759,0
962488,706.50,1004,744,0
962498,674.21,1004,759,0
962508,634.63,1004,750,0
962519,587.86,1004,758,0
962529,539.21,1004,751,0
962539,490.72,1004,758,0
962549,446.45,1004,752,0
962560,407.06,1004,757,0
962569,375.32,1004,751,0
962579,350.20,1004,758,0
962589,333.51,1004,752,0
